,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.76,0.46,0.83,0.78,0.69,0.58,0.74,0.56,0.69,0.61,0.47,0.66,0.65,0.65,0.71,0.29
autat.csv,0.24,0.45,0.47,0.11,0.41,0.38,0.71,0.7,0.8,0.44,0.35,0.21,0.43,0.73,0.58,0.05
biopax.csv,0.69,0.0,0.13,0.09,0.5,0.56,0.46,0.05,0.0,0.0,0.05,0.0,0.85,0.47,0.0,0.27
exl.csv,0.58,0.64,0.16,0.19,0.48,0.63,0.35,0.45,0.46,0.6,0.6,0.69,0.45,0.79,0.57,0.46
fceugc.csv,0.65,0.48,0.4,0.55,0.25,0.68,0.54,0.59,0.27,0.44,0.57,0.49,0.61,0.54,0.52,0.43
fido.csv,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.18,0.97,0.05,0.0,0.33,0.0,0.12,0.5
gretl.csv,0.5,0.64,0.68,0.61,0.67,0.47,0.5,0.6,0.8,0.45,0.65,0.91,0.58,0.68,0.65,0.53
jasperreports.csv,0.17,0.61,0.26,0.09,0.6,0.43,0.47,0.05,0.94,0.29,0.24,0.13,0.21,0.53,0.44,0.0
jmule.csv,0.87,0.46,0.82,0.7,0.69,0.57,0.64,0.56,0.88,0.69,0.68,0.82,0.62,0.73,0.75,0.88
moast.csv,0.26,0.0,0.39,0.0,0.0,0.0,0.0,0.34,0.56,0.05,0.27,0.97,0.57,0.25,0.21,0.36
ng4j.csv,0.46,0.48,0.82,0.56,0.6,0.43,0.63,0.22,0.89,0.92,0.45,0.77,0.64,0.76,0.83,0.2
olap-navigator.csv,0.82,0.78,0.65,0.66,0.53,0.47,0.62,0.52,0.92,0.49,0.64,0.57,0.46,0.62,0.7,0.5
passwordsafe.csv,0.46,0.38,0.85,0.55,0.47,0.58,0.72,0.33,0.53,0.71,0.69,0.69,0.73,0.59,0.71,0.0
phonon-vlc-mplayer.csv,0.54,0.42,0.79,0.67,0.7,0.47,0.7,0.29,0.7,0.84,0.72,0.87,0.44,0.76,0.74,0.38
sepgsql.csv,0.62,0.81,0.7,0.74,0.56,0.54,0.76,0.68,0.7,0.6,0.62,0.85,0.58,0.83,0.68,0.1
unflobtactical.csv,0.77,0.69,0.8,0.67,0.43,0.54,0.74,0.55,0.4,0.38,0.69,0.66,0.71,0.68,0.65,0.1
