,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.3,0.6,0.35,0.36,0.45,0.58,0.41,0.76,0.53,0.76,0.59,0.72,0.7,0.7,0.55,0.76
autat.csv,0.8,0.66,0.58,0.91,0.65,0.69,0.37,0.41,0.39,0.87,0.7,0.98,0.64,0.56,0.5,0.96
biopax.csv,0.67,1.0,0.97,0.98,0.83,0.79,0.85,0.99,1.0,1.0,0.99,1.0,0.18,0.85,1.0,0.93
exl.csv,0.76,0.56,0.97,0.85,0.58,0.7,0.77,0.86,0.64,0.72,0.61,0.69,0.82,0.26,0.55,0.65
fceugc.csv,0.57,0.6,0.71,0.71,0.79,0.42,0.57,0.74,1.02,0.86,0.62,0.83,0.47,0.53,0.72,0.8
fido.csv,0.98,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.86,0.12,0.96,1.0,0.72,1.0,0.9,0.61
gretl.csv,0.83,0.74,0.56,0.54,0.55,0.81,0.83,0.71,0.55,0.84,0.56,0.31,0.76,0.69,0.63,0.61
jasperreports.csv,0.98,0.48,0.99,0.98,0.68,0.88,0.85,0.99,0.13,0.77,0.95,0.97,0.96,0.62,0.82,1.0
jmule.csv,0.17,0.85,0.28,0.58,0.4,0.6,0.54,0.63,0.33,0.69,0.53,0.52,0.45,0.62,0.37,0.19
moast.csv,0.84,1.0,0.71,1.0,1.0,1.0,1.0,0.79,0.65,0.99,0.81,0.05,0.7,0.84,0.95,0.77
ng4j.csv,0.59,0.63,0.41,0.52,0.52,0.63,0.44,0.83,0.38,0.29,0.62,0.59,0.41,0.34,0.3,0.83
olap-navigator.csv,0.21,0.48,0.41,0.66,0.55,0.62,0.48,0.61,0.22,0.75,0.62,0.79,0.59,0.5,0.52,0.83
passwordsafe.csv,0.59,0.89,0.28,0.55,0.6,0.66,0.48,0.91,0.8,0.47,0.39,0.69,0.33,0.77,0.4,1.0
phonon-vlc-mplayer.csv,0.51,0.87,0.27,0.4,0.41,0.61,0.41,0.81,0.4,0.48,0.4,0.38,0.61,0.43,0.39,0.67
sepgsql.csv,0.43,0.35,0.36,0.37,0.53,0.58,0.3,0.68,0.39,0.71,0.45,0.45,0.51,0.4,0.49,0.92
unflobtactical.csv,0.36,0.39,0.28,0.42,0.64,0.6,0.41,0.72,0.91,0.91,0.45,0.72,0.54,0.58,0.7,0.92
