,openwbem.csv,x-ray-mule.csv,cleartk.csv,log4net.csv,opensim4opencog.csv,ofbiz.csv,ibatisdb.csv,power-architect.csv
cleartk.csv,0.56,0.5,0.0,0.45,0.68,0.59,0.55,0.86
ibatisdb.csv,0.31,0.05,0.21,0.21,0.45,0.06,0.21,0.64
log4net.csv,0.13,0.2,0.07,0.11,0.32,0.07,0.21,0.36
ofbiz.csv,0.68,0.65,0.5,0.66,0.68,0.38,0.47,0.43
opensim4opencog.csv,0.25,0.6,0.5,0.62,0.25,0.52,0.38,0.71
openwbem.csv,0.24,0.5,0.14,0.53,0.15,0.32,0.76,0.29
power-architect.csv,0.99,1.0,0.86,0.79,0.96,0.46,0.66,0.14
x-ray-mule.csv,0.14,0.2,0.79,0.72,0.15,0.75,0.46,0.57
