,openwbem.csv,x-ray-mule.csv,cleartk.csv,log4net.csv,opensim4opencog.csv,ofbiz.csv,ibatisdb.csv,power-architect.csv
cleartk.csv,0.4,0.41,1.0,0.03,0.13,0.67,0.19,0.81
ibatisdb.csv,0.42,0.0,0.87,0.04,0.11,0.7,0.57,0.65
log4net.csv,0.44,0.64,0.94,0.17,0.15,0.78,0.19,0.75
ofbiz.csv,0.35,0.67,0.84,0.02,0.12,0.8,0.18,0.74
opensim4opencog.csv,0.52,0.54,0.9,0.04,0.23,0.75,0.2,0.74
openwbem.csv,0.57,0.33,0.94,0.01,0.17,0.66,0.23,0.82
power-architect.csv,0.34,0.59,0.87,0.01,0.13,0.68,0.32,0.96
x-ray-mule.csv,0.28,0.86,0.88,0.01,0.17,0.67,0.02,0.68
