,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.05,0.39,0.34,0.45,0.33,0.44,0.98,0.43,0.59,0.44,0.34
bscwweasel.csv,0.0,0.17,0.17,0.88,0.23,0.2,0.05,0.19,0.16,0.17,0.06
capcode.csv,0.01,0.39,0.27,0.18,0.0,0.93,0.41,0.41,0.29,0.39,0.13
lamp.csv,0.01,0.94,0.17,0.18,0.38,0.2,0.07,0.02,0.4,0.32,0.17
nodal.csv,0.05,0.33,0.37,0.24,0.55,0.2,0.07,0.26,0.89,0.46,0.16
pydev.csv,0.1,0.34,0.52,0.49,0.53,0.37,0.16,0.31,0.34,0.93,0.49
retromenu.csv,0.01,0.17,0.39,0.18,0.96,0.37,0.12,0.16,0.26,0.38,0.07
smbopensoft.csv,0.97,0.51,0.44,0.66,0.62,0.36,0.46,0.28,0.49,0.37,0.37
stuproa-cims.csv,0.09,0.61,0.34,0.57,0.27,0.5,0.13,0.96,0.13,0.47,0.69
thout.csv,0.06,0.32,0.94,0.37,0.47,0.51,0.59,0.34,0.52,0.59,0.47
uface.csv,0.0,0.0,0.42,0.75,0.4,0.64,0.0,0.45,0.41,0.39,1.0
