,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.06,0.36,0.2,0.56,0.16,0.44,0.03,0.43,0.46,0.42,0.5
bscwweasel.csv,0.0,0.16,0.03,0.0,0.09,0.11,0.05,0.07,0.08,0.03,0.02
capcode.csv,0.0,0.44,0.21,0.1,0.18,0.01,0.46,0.15,0.4,0.45,0.04
lamp.csv,0.0,0.0,0.04,0.03,0.04,0.07,0.0,0.02,0.08,0.09,0.06
nodal.csv,0.02,0.13,0.13,0.16,0.27,0.35,0.05,0.19,0.0,0.25,0.04
pydev.csv,0.21,0.09,0.21,0.25,0.78,0.32,0.18,0.19,0.37,0.0,0.5
retromenu.csv,0.0,0.07,0.1,0.04,0.0,0.27,0.03,0.05,0.05,0.07,0.0
smbopensoft.csv,0.02,0.43,0.34,0.27,0.4,0.37,0.44,0.45,0.49,0.26,0.24
stuproa-cims.csv,0.98,0.74,0.9,0.68,0.93,0.79,0.97,0.0,0.97,0.84,0.63
thout.csv,0.01,0.49,0.0,0.49,0.27,0.46,0.56,0.38,0.49,0.38,0.43
uface.csv,1.0,1.0,0.86,0.48,0.87,0.59,1.0,0.81,0.86,0.77,0.02
