,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.9,0.52,0.67,0.6,0.92,0.58,0.47,0.56,0.56,0.64,0.68
bscwweasel.csv,0.0,0.96,0.9,0.94,0.88,0.9,0.83,0.95,0.88,0.86,0.83
capcode.csv,0.0,0.65,0.93,0.94,0.88,0.92,0.7,0.98,0.77,0.66,0.93
lamp.csv,0.0,0.92,0.92,0.86,0.89,0.86,0.83,0.75,0.92,0.94,0.94
nodal.csv,0.83,0.95,0.73,0.85,0.52,0.52,0.88,0.78,0.75,0.53,0.94
pydev.csv,0.97,0.94,0.65,0.8,0.4,0.59,0.95,0.98,0.67,0.61,0.61
retromenu.csv,0.0,0.91,0.67,0.88,0.55,0.52,0.92,0.93,0.88,0.88,0.83
smbopensoft.csv,0.43,0.54,0.56,0.67,0.45,0.57,0.58,0.55,0.5,0.67,0.65
stuproa-cims.csv,0.27,0.48,0.49,0.48,0.35,0.35,0.4,0.79,0.34,0.33,0.4
thout.csv,0.83,0.81,0.76,0.67,0.57,0.56,0.59,0.68,0.51,0.55,0.61
uface.csv,0.27,0.4,0.48,0.49,0.36,0.51,0.39,0.36,0.32,0.4,0.38
