,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.8,0.61,0.57,0.32,0.83,0.48,0.53,0.53,0.5,0.34,0.33,0.35,0.41,0.38,0.36
autowikibrowser.csv,0.44,0.35,0.34,0.27,0.33,0.36,0.4,0.39,0.45,0.33,0.36,0.44,0.39,0.31,0.32
blue-c.csv,0.55,0.43,0.45,0.33,0.62,0.47,0.47,0.5,0.51,0.4,0.38,0.38,0.49,0.5,0.46
dynalloy.csv,0.63,0.42,0.64,0.42,0.68,0.53,0.56,0.79,0.56,0.59,0.39,0.39,0.53,0.73,0.52
hydrogen.csv,0.41,0.37,0.39,0.3,0.43,0.42,0.44,0.42,0.53,0.39,0.0,0.35,0.38,0.42,0.35
jcae.csv,0.0,0.36,0.95,0.58,0.88,0.51,0.82,0.42,0.75,0.92,0.75,0.8,0.46,0.33,0.75
lphant.csv,0.41,0.39,0.37,0.3,0.41,0.44,0.42,0.43,0.55,0.38,0.4,0.44,0.36,0.38,0.33
nosleepsoftware.csv,0.91,0.81,0.8,0.8,0.6,0.99,0.75,0.0,0.0,0.92,0.0,0.75,0.93,0.72,0.86
qgo.csv,0.38,0.42,0.35,0.28,0.35,0.4,0.44,0.4,0.43,0.31,0.35,0.33,0.34,0.34,0.3
quickfast.csv,0.41,0.4,0.44,0.28,0.42,0.43,0.56,0.43,0.48,0.39,0.48,0.35,0.38,0.45,0.35
rhex.csv,0.51,0.37,0.97,0.54,0.43,0.61,0.77,0.75,0.67,0.54,0.73,0.0,0.83,0.42,0.57
rocrail.csv,0.6,0.43,0.43,0.34,0.43,0.42,0.76,0.43,0.54,0.33,0.45,0.34,0.59,0.36,0.55
virtuoso.csv,0.44,0.35,0.39,0.3,0.43,0.44,0.46,0.42,0.53,0.54,0.42,0.36,0.42,0.44,0.79
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0
yield.csv,0.41,0.35,0.4,0.3,0.35,0.42,0.47,0.38,0.51,0.35,0.37,0.35,0.38,0.37,0.38
