,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.14,0.06,0.24,0.76,0.26,0.32,0.09,0.0,0.19,0.62,0.63,0.52,0.39,0.3,0.56
autowikibrowser.csv,0.3,0.51,0.66,0.86,0.4,0.55,0.19,0.16,0.22,0.49,0.44,0.15,0.24,0.42,0.53
blue-c.csv,0.43,0.77,0.8,0.86,0.55,0.81,0.59,0.08,0.91,0.98,0.88,0.67,0.52,0.42,0.88
dynalloy.csv,0.52,0.66,0.26,0.68,0.53,0.74,0.44,0.04,0.88,0.7,0.91,0.7,0.59,0.29,0.5
hydrogen.csv,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17,1.0,0.0,1.0,1.0,1.0,0.66
jcae.csv,0.01,0.6,0.15,0.22,0.17,0.45,0.03,0.12,0.05,0.04,0.07,0.0,0.3,0.35,0.03
lphant.csv,0.8,0.74,0.86,1.0,0.87,0.52,0.71,0.48,0.71,0.89,0.26,0.3,0.67,0.6,0.31
nosleepsoftware.csv,0.09,0.17,0.04,0.05,0.19,0.06,0.03,0.04,0.0,0.06,0.0,0.09,0.19,0.22,0.03
qgo.csv,0.83,0.14,0.63,0.84,0.66,0.42,0.38,0.8,0.34,0.59,0.67,0.94,0.81,0.71,0.41
quickfast.csv,0.89,0.57,0.54,0.91,0.83,0.48,0.54,0.96,0.55,0.38,0.6,0.91,0.85,0.78,0.22
rhex.csv,0.31,0.57,0.24,0.54,0.21,0.33,0.22,0.12,0.16,0.36,0.21,0.0,0.33,0.34,0.31
rocrail.csv,0.19,0.2,0.59,0.85,0.28,0.85,0.04,0.12,0.14,0.53,0.35,0.61,0.2,0.3,0.09
virtuoso.csv,0.88,0.8,0.99,0.99,1.0,0.91,0.94,1.0,0.88,0.21,0.37,0.97,0.89,0.94,0.09
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0
yield.csv,0.6,0.66,0.88,1.0,0.57,0.91,0.16,0.36,0.65,0.76,0.84,0.7,0.48,0.72,0.66
