,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.68,0.67,0.83,0.76,1.16,1.0,0.69,0.48,0.69,0.88,0.57,0.97,0.4,0.95,0.88,0.65
elateportal.csv,1.0,0.92,0.55,0.62,0.71,0.93,0.91,0.88,0.88,0.69,0.68,0.05,0.84,0.71,0.87,0.73
gmerlin.csv,0.67,0.83,1.0,1.0,1.0,1.0,0.69,1.0,0.52,0.79,1.0,1.0,0.94,1.0,0.94,0.98
gretl.csv,0.92,0.7,0.75,0.5,1.1,0.78,0.76,0.58,0.91,0.73,0.72,0.56,0.38,0.73,0.63,0.65
illumination.csv,0.97,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27,1.0,1.0,0.95,1.0,1.0,0.98
mpgravity.csv,0.96,1.0,0.35,0.45,1.25,1.0,0.8,0.72,0.77,0.92,0.69,1.0,0.78,1.01,0.66,0.65
nativeclient.csv,0.59,0.54,0.55,0.46,0.75,0.72,0.74,0.51,0.67,0.7,0.65,0.97,0.41,0.61,0.45,0.47
natpad.csv,0.67,0.93,0.76,0.57,1.28,0.79,0.78,0.74,0.74,0.79,0.65,0.95,0.4,0.82,0.71,0.39
ogre.csv,0.93,0.5,1.0,0.78,0.05,0.85,0.63,0.82,0.65,0.88,0.81,1.0,0.85,0.72,0.85,0.77
open-ms.csv,0.8,0.5,0.75,0.71,0.96,0.74,0.86,0.53,0.72,0.66,0.58,0.67,0.61,0.83,0.78,0.95
openmsx.csv,0.65,0.55,0.79,1.0,0.42,0.77,0.55,0.72,0.67,0.68,0.63,1.11,1.0,1.0,0.93,1.0
oppna-program-hsatools.csv,0.8,0.21,1.0,0.56,1.04,0.84,0.72,0.86,0.74,0.67,0.84,1.06,0.6,0.54,0.93,0.83
sandiaportals.csv,0.88,0.81,0.75,0.53,1.01,0.87,0.65,0.77,0.71,0.98,0.62,1.0,0.33,0.93,0.59,0.44
sauerbraten.csv,0.31,0.64,0.98,0.85,1.0,0.67,0.83,0.85,0.98,0.76,0.92,0.92,0.72,1.0,0.99,1.0
yarp.csv,0.92,0.8,1.0,1.0,0.97,0.55,0.91,0.9,0.97,0.7,0.79,0.98,1.0,1.0,0.95,1.0
zemljanka.csv,0.97,0.96,1.01,0.77,0.56,0.88,0.79,0.79,0.75,0.79,0.79,1.0,0.98,0.19,0.9,0.83
