,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.17,0.28,0.1,0.96,0.33,0.23,0.34,0.15,0.16,0.06
ffigo.csv,0.43,0.59,0.53,0.62,0.64,0.66,0.42,0.0,0.96,0.47
foursquared.csv,0.12,0.35,0.47,0.24,1.0,0.43,0.34,0.0,0.38,0.12
gebr.csv,0.58,0.38,0.89,0.62,0.27,0.69,0.63,0.39,0.64,0.74
ildjit.csv,0.94,0.13,0.1,0.0,0.05,0.07,0.13,0.0,0.05,0.06
jfreereport.csv,0.62,0.89,0.13,0.34,0.1,0.28,0.36,0.75,0.4,0.37
kml.csv,0.31,0.62,0.46,0.74,0.7,1.0,0.6,0.14,0.65,0.66
ng4j.csv,0.09,0.58,0.55,0.56,0.75,0.6,0.02,0.29,0.52,1.0
pcsx2.csv,0.4,0.61,0.5,0.44,0.69,0.66,0.99,0.0,0.34,0.61
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
