,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.89,0.77,0.92,0.05,0.73,0.81,0.72,0.88,0.87,0.95
ffigo.csv,0.87,0.75,0.8,0.59,0.44,0.63,0.87,1.04,0.06,0.68
foursquared.csv,0.93,0.71,0.59,0.8,0.0,0.64,0.74,1.0,0.69,0.9
gebr.csv,0.78,0.89,0.13,0.72,0.94,0.61,0.69,0.84,0.66,0.61
ildjit.csv,0.07,0.91,0.92,1.0,0.96,0.94,0.89,1.0,0.96,0.95
jfreereport.csv,0.64,0.13,1.04,0.99,0.94,1.03,0.97,0.62,0.91,0.85
kml.csv,0.87,0.54,0.6,0.57,0.62,0.0,0.55,0.95,0.54,0.56
ng4j.csv,0.93,0.6,0.65,0.76,0.49,0.47,0.98,0.82,0.71,0.0
pcsx2.csv,0.87,0.52,0.55,0.65,0.49,0.43,0.02,1.02,0.72,0.52
wxjs.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
