,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.8,0.99,0.88,0.63,0.69,0.86,0.73,0.83,0.91,0.75
ffigo.csv,0.44,0.43,0.52,0.51,0.54,0.53,0.46,0.74,0.47,0.61
foursquared.csv,0.96,0.92,0.56,0.88,0.58,0.73,0.76,0.83,0.62,0.8
gebr.csv,0.36,0.42,0.45,0.41,0.32,0.36,0.42,0.46,0.39,0.49
ildjit.csv,0.86,1.0,0.9,0.5,0.75,0.67,0.96,0.86,0.75,0.5
jfreereport.csv,0.65,0.99,0.63,0.57,0.92,0.51,0.76,0.56,0.64,0.62
kml.csv,0.56,0.51,0.58,0.45,0.35,0.44,0.46,0.6,0.46,0.55
ng4j.csv,0.88,0.56,0.62,0.46,0.37,0.54,0.75,0.65,0.52,0.8
pcsx2.csv,0.49,0.58,0.53,0.75,0.43,0.5,0.48,0.94,0.67,0.66
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.88,0.0,0.0
