,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.14,0.24,0.08,0.95,0.29,0.19,0.29,0.12,0.13,0.05
ffigo.csv,1.0,0.84,0.85,0.65,0.62,0.78,0.85,0.0,0.95,0.45
foursquared.csv,0.1,0.3,0.42,0.2,1.0,0.39,0.3,0.0,0.33,0.1
gebr.csv,0.93,0.96,0.88,0.9,0.96,0.83,0.81,0.38,0.76,0.95
ildjit.csv,0.93,0.11,0.08,0.0,0.04,0.06,0.11,0.0,0.04,0.05
jfreereport.csv,0.69,0.87,0.63,0.4,0.08,0.5,0.42,1.0,0.46,0.35
kml.csv,0.28,0.62,0.41,0.9,0.88,1.0,0.6,0.12,0.67,0.7
ng4j.csv,0.07,0.58,0.56,0.75,0.83,0.56,0.02,0.25,0.54,1.0
pcsx2.csv,0.41,0.6,0.45,0.4,0.71,0.64,0.99,0.0,0.3,0.6
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
