,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.15,0.25,0.15,0.97,0.35,0.33,0.43,0.14,0.23,0.08
ffigo.csv,0.41,0.25,0.79,0.47,0.6,0.64,0.74,0.0,0.97,0.34
foursquared.csv,0.11,0.28,0.57,0.29,1.0,0.48,0.42,0.0,0.46,0.16
gebr.csv,0.41,0.25,0.92,0.51,0.51,0.67,0.75,0.1,0.72,0.51
ildjit.csv,0.93,0.1,0.15,0.0,0.07,0.1,0.2,0.0,0.08,0.09
jfreereport.csv,0.39,0.93,0.63,0.25,0.11,0.4,0.46,0.22,0.49,0.24
kml.csv,0.19,0.3,0.57,0.56,0.58,1.0,0.67,0.05,0.7,0.45
ng4j.csv,0.11,0.27,0.64,0.44,0.62,0.65,0.04,0.1,0.58,1.0
pcsx2.csv,0.23,0.32,0.62,0.4,0.58,0.68,0.99,0.0,0.43,0.46
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
