,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.71,0.69,0.51,0.66
jhotdraw.csv,0.9,0.56,0.26,0.78
pokeglobal.csv,0.68,0.48,0.29,0.4
unflobtactical.csv,0.68,0.73,0.74,0.54
