,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.4,0.39,0.44,0.36
mcore3d.csv,0.34,0.23,0.39,0.28
projecteqemu.csv,0.22,0.23,0.17,0.22
xbplayer.csv,0.16,0.15,0.15,0.15
