,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.98,0.98,1.0,0.86
mcore3d.csv,0.88,0.71,0.94,0.92
projecteqemu.csv,0.44,0.71,0.48,0.72
xbplayer.csv,0.31,0.6,0.37,0.28
