,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.61,0.56,1.0,0.44,0.7,0.72,0.64,0.54,0.8,0.55,0.45,0.7,0.74,0.59
awemud.csv,0.48,0.89,0.61,0.6,0.64,0.54,0.56,0.37,0.74,0.62,0.56,0.69,0.54,0.54
buddata-ebxml-registry.csv,0.93,0.7,0.86,0.97,0.85,0.98,0.99,0.98,0.92,0.91,1.0,1.0,0.07,0.95
cornerstone.csv,0.88,0.76,1.0,0.89,0.6,0.96,0.9,0.97,0.41,0.85,0.87,0.63,0.72,0.64
firebreath.csv,0.47,1.03,0.95,0.53,0.61,0.63,0.44,0.78,0.84,0.84,0.73,0.66,0.78,0.4
lsb.csv,0.5,0.26,0.74,0.63,0.57,0.63,0.69,0.63,0.67,0.59,0.88,0.81,0.72,0.68
maya-work-in-progress.csv,0.62,0.67,0.41,0.63,0.88,0.74,0.6,0.23,0.94,0.7,0.54,0.78,0.52,0.68
mia.csv,0.86,0.87,0.97,0.8,0.96,0.66,0.76,0.5,0.68,0.45,0.68,0.91,0.96,0.67
open-beos.csv,0.47,0.96,0.58,0.52,0.71,0.45,0.69,0.54,0.69,0.66,0.52,0.8,0.63,0.39
qgis.csv,0.71,0.95,0.69,0.45,0.67,0.66,0.72,0.47,0.81,0.89,0.64,0.55,0.68,0.47
rocrail.csv,0.46,0.93,0.74,0.59,0.64,0.66,0.63,0.48,0.58,0.83,0.56,0.63,0.56,0.26
rtb-team.csv,0.64,1.0,0.23,0.77,0.99,0.81,0.93,0.88,0.73,0.95,0.84,0.7,1.2,0.66
tradelink.csv,0.73,0.88,0.81,0.74,0.68,0.72,0.86,0.82,0.8,1.05,0.94,0.5,0.62,0.91
upp-mirror.csv,0.72,0.78,0.88,0.69,0.51,0.66,0.59,0.66,0.72,0.68,0.74,0.5,0.68,0.35
