,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.24,0.74,0.71,0.52,0.82,0.17,0.3,0.25,0.51,0.33
cities3d.csv,0.33,0.48,0.85,0.38,0.6,0.21,0.38,0.0,0.62,0.23
firebird.csv,0.23,0.51,0.67,0.46,0.84,0.12,0.27,0.22,0.44,0.3
hydrogen.csv,0.22,0.46,0.52,0.36,0.49,0.09,0.43,0.17,0.4,0.2
lphant.csv,0.18,0.55,0.56,0.45,0.61,0.12,0.22,0.24,0.61,0.25
open-ms.csv,0.18,0.68,0.57,0.42,0.86,0.09,0.5,0.27,0.67,0.27
qgo.csv,0.14,0.84,0.53,0.48,0.64,0.09,0.27,0.22,0.4,0.22
rhex.csv,0.34,0.53,0.55,0.42,0.55,0.11,0.38,0.2,1.0,0.25
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
yield.csv,0.13,0.61,0.62,0.36,0.74,0.09,0.25,0.23,0.45,0.24
