,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.98,0.0,0.92,1.01,0.95,0.74,1.0,0.96,0.98,1.0,0.95,1.0,1.0,0.86,1.0,0.96,0.99,0.8,0.92,0.97
baadengine.csv,0.01,0.92,0.82,0.45,0.57,0.82,0.36,0.6,0.71,0.47,0.58,0.87,0.59,0.54,0.51,0.79,0.64,0.68,0.67,0.42
bibedt.csv,0.91,0.61,1.02,0.36,0.71,0.78,0.92,0.78,0.76,0.83,0.78,1.0,0.2,0.67,0.78,0.82,0.82,0.67,0.77,0.7
cascading.csv,0.38,1.13,1.1,0.4,0.42,0.66,0.41,0.61,0.69,0.56,0.71,0.6,0.77,0.59,0.7,0.78,0.0,0.75,0.61,0.3
dataobjectsdotnet.csv,0.78,0.86,0.95,0.14,0.81,0.99,0.79,0.74,0.88,0.69,0.72,0.61,0.83,0.76,0.78,0.78,0.83,0.03,0.83,0.69
exl.csv,0.52,1.27,1.04,0.73,0.52,0.74,0.57,0.8,0.73,0.81,0.73,0.85,0.7,0.59,0.76,0.89,0.63,0.75,0.62,0.02
gogoego.csv,0.84,1.04,0.97,1.01,0.85,0.89,0.71,0.1,0.71,0.81,0.46,1.02,0.73,0.89,0.78,0.92,0.82,0.8,0.79,0.51
httpcontentparser.csv,0.95,1.0,0.9,1.01,1.04,0.87,0.97,0.94,0.88,0.94,0.2,1.0,0.99,0.86,0.89,0.96,0.96,0.73,0.91,1.03
impala.csv,0.8,1.03,0.9,0.83,0.83,0.93,0.83,0.8,0.86,1.0,0.97,1.05,0.9,0.87,0.49,0.04,0.76,0.82,0.74,1.07
jaxlib.csv,1.0,1.0,1.0,1.0,0.98,0.96,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.98
jgameai.csv,0.98,1.0,0.96,1.02,0.93,0.04,0.8,0.76,0.94,0.8,0.9,0.5,1.0,0.97,0.85,0.87,0.9,0.88,0.93,0.95
jhotdraw.csv,0.68,0.44,0.93,0.15,0.83,0.98,1.0,0.67,0.06,0.87,1.0,1.05,0.95,0.84,0.79,0.88,0.88,0.69,0.82,0.96
loki-lib.csv,0.51,1.05,0.84,0.33,0.47,0.59,0.88,0.59,0.67,0.49,0.58,0.46,0.84,0.68,0.39,0.9,0.6,0.69,0.03,0.73
patterntesting.csv,0.58,0.88,1.03,1.06,0.64,0.82,0.62,0.6,0.63,0.07,0.54,0.5,0.64,0.47,0.5,0.87,0.7,0.69,0.83,0.37
pokeglobal.csv,0.7,0.85,0.3,0.49,0.02,0.54,0.93,0.66,0.76,0.67,0.6,0.83,0.7,0.78,0.77,0.74,0.74,0.76,0.51,0.58
snakeyaml.csv,0.78,0.43,0.55,1.29,0.82,0.68,0.98,0.71,0.68,0.83,0.79,0.75,0.7,0.67,0.07,0.77,0.76,0.76,0.95,0.63
unflobtactical.csv,0.84,0.49,1.02,1.03,0.58,0.72,0.57,0.7,0.83,0.71,0.61,0.21,0.73,0.05,0.87,0.9,0.72,0.77,0.76,0.49
werx.csv,1.0,0.95,0.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0
zealos.csv,0.89,0.86,0.91,1.04,0.7,0.73,0.07,0.63,0.58,0.67,0.45,1.03,0.7,0.71,0.65,0.73,0.72,0.55,0.72,0.52
