,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.4,0.57,0.51,0.43,0.44,0.55,0.38,0.4,0.44,0.53,0.38,0.5
crisscross.csv,0.4,0.42,0.51,0.47,0.75,0.4,0.44,0.39,0.46,0.36,0.4,0.44
gabel.csv,0.42,0.8,0.57,0.4,0.83,0.83,0.62,0.93,0.61,0.86,0.45,0.51
jguard.csv,0.76,0.42,0.92,0.48,0.32,0.44,0.39,0.61,0.42,0.93,0.5,0.81
jitterbit.csv,0.44,0.5,0.7,0.46,0.83,0.67,0.43,0.58,0.49,0.79,0.41,0.52
mycila.csv,0.43,0.67,0.47,0.62,0.33,0.61,0.48,0.55,0.48,0.36,0.73,0.66
nova.csv,0.52,0.53,0.61,0.5,0.33,0.43,0.45,0.58,0.48,0.66,0.5,0.56
ontomorphtab.csv,0.42,0.55,0.58,0.42,0.31,0.42,0.41,0.42,0.42,0.63,0.38,0.49
tmva.csv,0.6,0.41,0.45,0.43,0.38,0.45,0.42,0.51,0.48,0.92,0.36,0.49
vienna-add-in.csv,0.59,0.42,0.56,0.49,0.47,0.66,0.6,0.81,0.95,0.68,0.54,0.57
vrjuggler.csv,0.7,0.0,0.53,0.62,0.89,0.99,0.87,0.93,0.9,0.53,0.89,0.94
wpdev.csv,0.39,0.41,0.58,0.45,0.53,0.39,0.42,0.39,0.46,0.38,0.37,0.44
