,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.14,0.18,0.19,0.07,0.0,0.12,0.0,0.0,0.0,0.0
fritzing.csv,0.21,0.16,0.01,0.39,0.2,0.38,0.15,0.11,0.16,0.24
jlinalg.csv,0.0,0.7,0.84,0.88,1.0,0.78,0.96,0.87,0.94,0.76
knowledge.csv,0.14,0.26,0.29,0.98,0.0,0.79,0.96,0.7,0.97,0.83
massiv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitude.csv,0.07,0.34,0.39,0.55,0.2,0.46,0.42,0.41,0.25,0.03
playerstage.csv,0.36,0.42,0.4,0.0,0.2,0.4,0.17,0.3,0.28,0.37
quarkplusplus.csv,0.43,0.08,0.3,0.16,0.0,0.26,0.08,0.43,0.03,0.22
rtrt-on-gpu.csv,0.21,0.35,0.27,0.23,0.4,0.28,0.0,0.17,0.09,0.2
superwaba.csv,0.21,0.0,0.32,0.39,0.8,0.75,0.33,0.5,0.34,0.31
