,owlib.csv,baadengine.csv,barracudamvc.csv,sidekar.csv,springside.csv,jgnash.csv,jsr308-langtools.csv,owlapi.csv,ingex.csv
baadengine.csv,0.95,0.33,0.96,0.58,0.63,0.53,0.65,0.84,0.93
barracudamvc.csv,0.95,0.99,0.39,1.0,0.99,0.98,1.0,0.99,0.92
ingex.csv,0.71,1.01,0.79,0.66,0.93,0.83,0.79,0.53,0.51
jgnash.csv,0.73,0.75,0.77,0.56,0.6,0.38,0.58,0.55,0.5
jsr308-langtools.csv,0.55,0.75,0.95,0.92,1.0,0.68,0.12,0.52,0.57
owlapi.csv,0.8,0.97,0.91,0.77,0.88,0.74,0.58,0.37,0.69
owlib.csv,0.43,0.59,0.81,0.59,0.73,0.46,0.4,0.57,0.69
sidekar.csv,1.0,1.0,0.97,0.3,1.0,1.0,1.0,1.0,1.0
springside.csv,0.93,0.85,0.58,0.63,0.36,0.6,0.65,0.61,0.87
