,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.62,0.47,0.75,0.63,0.49,0.37,0.5,0.6,0.52,0.56,0.43,0.57,0.6,0.59
autowikibrowser.csv,0.49,0.33,0.7,0.45,0.4,0.41,0.39,0.41,0.36,0.57,0.67,0.45,0.35,0.57
cities3d.csv,0.62,0.86,0.75,0.52,0.88,0.97,0.97,0.81,0.43,0.56,0.67,0.9,0.52,0.96
kmatplot.csv,0.86,0.69,0.83,0.9,0.71,0.98,0.69,0.76,0.86,0.75,0.71,0.94,0.52,0.56
libarchive.csv,0.49,0.6,0.64,0.49,0.45,0.59,0.46,0.54,0.5,0.55,0.48,0.47,0.45,0.54
lphant.csv,0.5,0.39,0.64,0.47,0.4,0.41,0.38,0.44,0.36,0.55,0.5,0.49,0.37,0.52
mob-sen-plat.csv,0.41,0.38,0.38,0.38,0.38,0.39,0.31,0.4,0.36,0.39,0.36,0.37,0.34,0.47
mscore.csv,0.45,0.38,0.52,0.45,0.37,0.5,0.42,0.46,0.39,0.44,0.48,0.5,0.38,0.51
pidgin.csv,0.44,0.41,0.52,0.43,0.33,0.38,0.4,0.44,0.39,0.4,0.35,0.5,0.36,0.51
quickfast.csv,0.46,0.44,0.6,0.43,0.34,0.46,0.52,0.46,0.47,0.42,0.46,0.37,0.37,0.6
raygina.csv,0.52,0.58,0.83,0.6,0.7,0.71,0.41,0.58,0.64,0.86,0.5,0.65,0.62,0.49
riff-evolve.csv,0.49,0.48,0.86,0.52,0.4,0.71,0.39,0.5,0.4,0.58,0.42,0.48,0.42,0.45
upp-mirror.csv,0.58,0.55,0.88,1.0,0.47,0.64,0.47,0.68,0.67,0.78,0.89,0.56,0.55,0.83
wishmaster.csv,0.92,0.88,0.69,0.99,0.55,0.97,0.69,0.85,0.92,0.86,0.85,0.69,0.67,0.58
