,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.31,0.4,0.56,0.99,0.64,0.08,0.75,0.69,0.2,0.6,0.57,0.48,0.8,0.48
autowikibrowser.csv,0.35,0.37,0.7,0.46,0.68,0.14,0.77,0.77,0.18,0.64,0.67,1.0,0.72,0.43
cities3d.csv,0.23,0.57,0.0,0.32,0.65,0.97,0.77,0.74,0.25,0.47,0.0,0.6,0.72,0.52
kmatplot.csv,1.0,0.44,0.67,0.45,0.62,0.08,0.81,0.71,0.14,0.67,0.57,0.5,0.91,0.51
libarchive.csv,0.19,0.4,1.0,0.44,0.61,0.16,0.81,0.75,0.25,0.62,0.61,0.6,0.73,1.0
lphant.csv,0.33,0.54,0.73,0.42,0.69,0.11,0.86,0.73,0.19,0.51,0.95,0.51,0.77,0.62
mob-sen-plat.csv,0.23,0.35,1.0,0.42,0.59,0.09,0.8,0.76,0.23,0.5,0.47,0.58,0.64,0.7
mscore.csv,0.2,0.38,0.76,0.42,0.67,0.13,0.76,0.99,0.18,0.54,0.57,0.43,0.66,0.47
pidgin.csv,0.27,0.46,0.71,0.43,0.63,0.1,0.99,0.68,0.18,0.57,0.46,0.55,0.7,0.64
quickfast.csv,0.22,0.47,0.67,0.41,0.67,0.15,0.78,0.66,0.2,0.56,0.38,0.58,1.0,0.51
raygina.csv,0.23,1.0,0.5,0.44,0.7,0.16,0.71,0.73,0.14,0.59,0.62,0.74,0.71,0.45
riff-evolve.csv,0.32,0.52,0.71,0.47,0.73,0.21,0.71,0.67,0.19,0.96,0.54,0.62,0.7,0.42
upp-mirror.csv,0.22,0.5,0.88,0.46,1.0,0.11,0.83,0.77,0.29,0.44,0.56,0.53,0.66,0.46
wishmaster.csv,0.18,0.25,0.75,0.53,0.79,0.15,0.77,0.64,1.0,0.71,0.62,0.38,1.0,0.45
