,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.38,0.0,0.38,0.19,0.36,0.27,0.71,0.09,0.77,0.54,0.63,0.5,0.4
gamestone.csv,0.14,0.88,0.14,0.42,0.36,0.0,0.29,0.14,0.08,0.08,0.27,0.22,0.64
gbif-providertoolkit.csv,0.68,0.25,0.38,0.58,0.71,0.24,0.24,0.83,0.31,0.73,0.73,0.75,0.33
growl-for-windows.csv,0.55,0.25,0.14,0.03,0.71,0.24,1.0,0.0,0.0,0.04,0.77,0.67,0.0
gss.csv,0.75,0.88,0.88,0.94,0.79,0.63,1.0,0.71,1.0,0.69,0.73,0.64,0.91
heekscad.csv,0.74,0.38,0.62,0.58,0.71,0.51,0.57,0.57,1.0,0.71,0.43,0.42,0.78
igarden.csv,0.55,0.38,0.43,0.68,0.57,0.61,0.86,0.28,1.0,0.52,0.47,0.22,0.69
levent.csv,0.66,0.12,0.0,0.0,0.86,0.69,1.0,0.0,0.0,0.0,0.77,0.75,0.0
openmsx.csv,0.74,0.88,0.38,0.81,0.14,0.39,0.57,0.62,0.31,0.29,0.33,0.53,0.33
pnotepad.csv,0.61,0.88,0.88,1.0,0.86,0.63,0.81,0.54,1.0,0.92,0.57,0.5,0.98
quark.csv,0.4,0.25,0.36,0.06,0.29,0.02,0.19,0.11,0.85,0.19,0.1,0.03,0.33
tango-cs.csv,0.94,0.75,0.98,0.97,1.0,0.02,0.81,0.85,1.0,0.9,0.8,0.89,0.62
xcsoar.csv,0.66,0.25,0.68,0.61,0.71,0.39,0.62,0.45,1.0,0.23,0.43,0.78,0.53
