,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.45,0.35,0.3,0.15,0.27,0.09,0.3,0.07,0.44,0.6,0.7,0.17,0.43
gamestone.csv,0.0,0.17,0.13,0.42,0.28,0.0,0.6,0.14,0.17,0.2,0.05,0.44,0.64
gbif-providertoolkit.csv,0.91,0.65,0.69,0.46,0.25,0.22,0.1,0.83,0.37,1.0,1.0,0.61,0.22
growl-for-windows.csv,0.13,0.08,0.0,0.01,0.57,0.09,0.93,0.0,0.0,0.0,0.75,0.11,0.0
gss.csv,0.36,0.33,0.58,0.88,0.84,0.61,1.0,0.69,0.9,0.1,0.2,0.83,0.81
heekscad.csv,0.3,0.23,0.2,0.33,0.31,0.3,0.53,0.41,0.83,0.5,0.15,0.28,0.65
igarden.csv,0.15,0.25,0.18,0.35,0.31,0.22,0.7,0.22,0.48,0.3,0.2,0.0,0.77
levent.csv,0.3,0.12,0.0,0.0,0.69,0.35,1.0,0.0,0.0,0.0,0.65,0.39,0.0
openmsx.csv,0.49,0.77,0.44,0.61,0.13,0.17,0.4,0.34,0.27,0.5,0.35,0.44,0.52
pnotepad.csv,0.17,0.6,0.72,0.97,0.9,0.52,0.93,0.77,1.0,0.0,0.4,0.67,0.84
quark.csv,0.17,0.02,0.03,0.07,0.12,0.0,0.1,0.05,0.27,0.0,0.1,0.0,0.36
tango-cs.csv,1.0,0.69,0.85,0.88,0.96,0.04,0.77,0.9,1.0,0.9,0.95,0.67,0.39
xcsoar.csv,0.17,0.12,0.25,0.5,0.43,0.26,0.7,0.47,1.0,0.0,0.35,0.61,0.48
