,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.99,0.64,0.73,0.58,0.57,0.55,0.84,0.42,0.48,0.78
fritzing.csv,0.56,0.4,0.38,0.49,0.46,0.52,0.8,0.77,0.55,0.6
jlinalg.csv,0.25,0.71,0.86,0.65,0.64,0.63,0.96,0.91,0.48,0.73
knowledge.csv,0.26,0.62,0.61,0.8,0.16,0.62,0.84,0.74,0.49,0.67
massiv.csv,0.86,0.7,0.66,1.0,1.0,0.03,1.0,0.47,1.0,0.81
oscarmcmaster.csv,0.51,0.37,0.35,0.5,0.29,0.59,0.8,0.53,0.65,0.52
playerstage.csv,0.56,0.65,0.59,0.37,0.46,0.58,0.9,0.73,0.68,0.56
quarkplusplus.csv,0.34,0.56,0.65,0.69,0.39,0.59,0.93,0.85,0.59,0.68
rtrt-on-gpu.csv,0.68,0.94,0.85,0.89,1.18,1.09,0.38,0.97,0.85,0.8
superwaba.csv,0.68,0.39,0.5,0.52,0.44,0.55,0.78,0.74,0.64,0.67
