,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.34,0.43,0.59,0.48,0.51,0.54,0.23,0.67,0.69,0.35
fritzing.csv,0.68,0.72,0.75,0.62,0.73,0.7,0.24,0.29,0.64,0.51
jlinalg.csv,0.81,0.34,0.46,0.6,0.52,0.75,0.33,0.33,0.73,0.57
knowledge.csv,0.79,0.58,0.66,0.54,0.87,0.65,0.23,0.55,0.63,0.53
massiv.csv,0.17,0.35,0.41,0.0,0.0,0.99,0.0,0.63,0.0,0.23
oscarmcmaster.csv,0.58,0.74,0.73,0.66,0.79,0.78,0.24,0.58,0.46,0.61
playerstage.csv,0.55,0.66,0.71,0.73,0.73,0.53,0.12,0.34,0.45,0.57
quarkplusplus.csv,0.8,0.68,0.61,0.46,0.66,0.53,0.12,0.45,0.55,0.46
rtrt-on-gpu.csv,0.39,0.39,0.22,0.39,0.0,0.0,0.71,0.06,0.41,0.47
superwaba.csv,0.39,0.7,0.68,0.56,0.64,0.69,0.34,0.64,0.43,0.52
