,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,mumble.csv,t-2.csv,geochat.csv
adaptagrams.csv,1.0,0.82,0.3,0.14,0.3,0.46,0.14,0.14
aime.csv,1.0,0.77,0.38,0.22,1.0,0.44,0.09,0.25
badtrinitycore.csv,0.56,0.67,0.64,1.0,0.25,0.25,0.05,0.19
electric-core.csv,0.53,0.77,0.99,0.11,0.17,0.23,0.11,0.24
geochat.csv,0.44,0.67,0.41,0.21,0.16,0.44,0.12,1.0
mumble.csv,0.72,0.96,0.29,0.21,0.33,1.0,0.16,0.25
olsrd.csv,0.59,1.0,0.24,0.12,0.27,0.38,0.13,0.25
t-2.csv,0.47,0.72,0.21,0.1,0.17,0.22,1.0,0.26
