,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.84,0.95,0.06,0.88,1.0,1.0,0.62,0.82,0.85,1.0,0.97
haphazard.csv,0.97,0.43,0.48,0.31,0.43,0.42,0.46,0.45,0.54,0.59,0.8
jicarilla.csv,0.07,0.0,0.94,0.0,0.0,0.0,0.08,0.43,0.0,0.0,0.02
jruby.csv,0.95,0.24,0.18,0.12,0.14,0.32,0.03,0.95,0.46,0.14,0.68
optalgtoolkit.csv,0.33,0.43,0.79,0.19,0.29,0.68,0.49,0.95,0.31,0.64,0.12
ossim.csv,0.17,0.27,0.3,0.94,0.0,0.37,0.51,0.77,0.31,0.09,0.21
projectts.csv,0.76,0.73,0.03,0.56,0.86,0.26,0.73,0.05,0.54,0.14,0.95
qedo.csv,0.14,0.05,0.55,0.12,0.0,0.68,0.22,0.77,0.31,0.77,0.06
sabbu.csv,0.74,0.62,0.09,0.62,0.86,0.11,0.49,0.09,0.54,0.18,0.6
vxl.csv,0.6,0.46,0.18,0.62,0.29,0.26,0.32,0.52,0.62,0.91,0.67
zact.csv,0.5,0.03,0.61,0.69,0.71,0.11,0.49,0.48,0.31,0.59,0.24
