,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.56,0.27,0.09,0.06,0.06,0.38,0.53,0.84,0.18,0.09,0.87
haphazard.csv,0.54,0.24,0.43,0.03,0.07,0.32,0.65,0.67,0.33,0.2,0.86
jicarilla.csv,0.5,0.0,0.78,0.0,0.0,0.0,0.6,0.66,0.0,0.0,1.0
jruby.csv,0.53,0.22,0.6,0.03,0.02,0.29,0.5,0.72,0.2,0.03,0.9
optalgtoolkit.csv,0.4,0.24,0.45,0.02,0.05,0.65,0.47,0.72,0.14,0.1,0.79
ossim.csv,0.38,0.31,0.45,0.18,0.0,0.41,0.51,0.68,0.14,0.02,0.87
projectts.csv,0.63,0.26,0.12,0.07,0.05,0.22,0.66,0.67,0.18,0.03,0.86
qedo.csv,0.22,0.29,0.47,0.02,0.0,0.48,0.57,0.72,0.36,0.24,0.8
sabbu.csv,0.77,0.26,0.3,0.07,0.08,0.33,0.6,0.67,0.19,0.02,0.87
vxl.csv,0.64,0.3,0.38,0.11,0.03,0.26,0.63,0.79,0.21,0.11,0.86
zact.csv,0.47,0.11,0.67,0.08,0.14,1.0,0.53,0.64,0.27,0.14,0.88
