,springside.csv,gpsmid.csv,psycle.csv,botsnscouts.csv,lphant.csv,oscarmcmaster.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.67,0.84,0.85,0.76,0.48,0.23,0.43,0.4,0.34
gpsmid.csv,0.45,0.81,0.58,0.63,0.4,0.24,0.4,0.41,0.25
lphant.csv,0.32,0.75,0.8,0.55,0.67,0.25,0.62,0.43,0.31
magicwars.csv,0.45,0.65,0.66,0.49,0.4,0.21,0.75,0.38,0.26
oscarmcmaster.csv,0.49,0.84,0.75,0.5,0.42,0.29,0.38,0.52,0.42
psycle.csv,0.42,0.64,0.81,0.58,0.44,0.23,0.36,0.44,0.3
springside.csv,0.64,0.68,0.71,0.6,0.38,0.25,0.84,0.44,0.33
turbotrader-bos.csv,0.54,0.85,0.83,0.86,0.68,0.26,0.59,0.62,0.33
xmemcached.csv,0.48,0.74,0.61,0.55,0.41,0.19,0.36,0.34,0.61
