,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.69,0.42,0.42,0.38,0.45,0.48,0.49,0.37,0.56,0.7,0.46,0.64,0.69
bdbbasic.csv,0.53,0.67,0.43,0.33,0.56,0.46,0.67,0.61,0.58,0.5,0.88,0.0,0.62
foursquared.csv,0.0,0.0,0.0,0.52,0.0,0.0,0.89,0.86,0.83,0.86,0.91,0.0,0.0
impala.csv,0.66,0.53,0.65,0.86,0.64,0.58,0.5,0.84,0.71,0.45,0.38,0.46,0.52
jicarilla.csv,0.77,0.8,0.93,0.83,0.5,0.92,0.93,0.0,0.99,0.71,0.8,0.0,0.92
ng4j.csv,0.71,0.47,0.41,0.32,0.65,0.41,0.41,0.4,0.42,0.46,0.39,0.52,0.62
open-data-kit.csv,0.69,0.49,0.39,0.33,0.4,0.52,0.39,0.51,0.49,0.38,0.47,0.47,0.54
pentahoanalysistool.csv,0.9,0.44,0.48,0.59,0.85,0.59,0.83,0.45,0.59,0.83,0.91,0.61,0.91
tradelink.csv,0.86,0.45,0.44,0.8,0.53,0.61,0.69,0.38,0.52,0.8,0.63,0.65,0.69
turbotrader-bos.csv,0.7,0.4,0.46,0.6,0.58,0.93,0.86,0.44,0.5,0.93,0.47,0.67,0.74
ultimairis.csv,0.57,0.36,0.4,0.29,0.54,0.41,0.51,0.4,0.44,0.66,0.43,0.42,0.57
wikipediardware.csv,0.57,0.39,0.36,0.31,0.38,0.36,0.35,0.33,0.4,0.38,0.34,0.45,0.44
yafdotnet.csv,0.67,0.36,0.54,0.32,0.7,0.43,0.45,0.45,0.41,0.45,0.6,0.5,0.44
