,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv
fceugc.csv,0.44,0.12,0.59,0.23,0.07,0.49,0.43
flexpay.csv,0.5,0.58,0.24,0.3,0.04,0.17,0.16
modellus.csv,0.51,0.12,0.45,0.12,0.05,0.2,0.34
open-data-kit.csv,0.63,0.62,0.86,0.81,0.2,0.79,0.18
phet.csv,0.24,0.79,0.27,0.6,0.84,0.59,0.86
qtractor.csv,0.62,0.29,0.52,0.4,0.29,0.41,0.34
sumatrapdf.csv,0.95,0.46,0.98,0.84,0.15,0.73,0.77
