,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.54,0.43,0.51,0.55,0.53,0.69,0.52,0.58,0.98,0.4,0.37,0.88,0.62,0.37,0.63,0.57,0.35,0.63
bscwweasel.csv,0.07,0.01,0.23,0.0,0.96,0.38,0.38,0.13,0.02,0.04,0.17,0.81,0.2,0.07,0.0,0.13,0.06,0.12
capcode.csv,0.04,0.0,0.11,0.07,0.12,0.0,0.93,0.1,0.26,0.15,0.04,0.0,0.17,0.07,0.12,0.19,0.17,0.16
dspace-gsoc.csv,0.39,0.69,0.67,0.58,0.52,0.62,0.54,0.65,0.29,0.45,1.0,0.4,0.72,0.55,0.3,0.57,0.56,0.7
emite.csv,0.27,0.73,0.38,0.39,0.51,0.5,0.53,0.53,0.41,0.37,0.46,0.23,0.33,0.58,0.94,0.52,0.42,0.49
fbmanager.csv,0.54,0.41,0.62,0.98,0.29,0.7,0.54,0.67,0.16,0.41,0.53,0.79,0.64,0.49,0.19,0.68,0.4,0.57
freenet.csv,0.6,0.09,0.57,0.43,0.63,0.51,0.49,0.99,0.49,0.57,0.58,0.52,0.57,0.62,0.3,0.4,0.46,0.45
geogebra.csv,0.28,0.04,0.32,0.07,0.54,0.36,0.55,0.52,0.17,0.53,0.13,0.49,0.46,0.31,0.35,0.95,0.15,0.45
megameknet.csv,0.5,0.04,0.64,0.53,0.43,0.7,0.45,0.58,0.2,0.53,0.38,0.71,0.95,0.62,0.27,0.57,0.12,0.39
ondex.csv,0.27,0.49,0.56,0.35,0.38,0.62,0.51,0.6,0.66,0.54,0.29,0.23,0.56,0.9,0.34,0.59,0.75,0.34
onotoa.csv,0.51,0.24,0.42,0.61,0.51,0.5,0.59,0.48,0.46,0.97,0.45,0.57,0.42,0.4,0.2,0.46,0.48,0.42
paintown.csv,0.97,0.07,0.5,0.58,0.66,0.61,0.48,0.56,0.55,0.55,0.55,0.61,0.68,0.66,0.56,0.6,0.45,0.66
powerfolder.csv,0.0,0.0,0.04,0.0,0.06,0.12,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0
retromenu.csv,0.28,0.1,0.26,0.22,0.29,0.96,0.46,0.42,0.02,0.19,0.07,0.82,0.54,0.37,0.07,0.59,0.06,0.29
smbopensoft.csv,0.51,0.97,0.66,0.39,0.63,0.74,0.58,0.59,0.44,0.51,0.54,0.76,0.63,0.54,0.43,0.63,0.43,0.55
triplea.csv,0.44,0.31,0.98,0.44,0.51,0.77,0.55,0.54,0.51,0.51,0.67,0.89,0.6,0.75,0.52,0.57,0.46,0.68
tweetsharp.csv,0.67,0.3,0.37,0.66,0.73,0.78,0.5,0.45,0.54,0.5,0.65,0.86,0.67,0.6,0.54,0.64,0.98,0.57
xamj.csv,0.62,0.28,0.54,0.58,0.49,0.48,0.45,0.58,0.41,0.47,0.26,0.91,0.56,0.59,0.33,0.58,0.59,0.97
