,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.27,0.62,0.19,0.32,0.32,0.38,0.41,0.41,0.0,0.19,0.21,0.41,0.37,0.2,0.5,0.35,0.2,0.4
bscwweasel.csv,0.0,0.0,0.0,0.0,0.0,0.11,0.15,0.03,0.0,0.0,0.0,0.12,0.01,0.06,0.0,0.05,0.0,0.01
capcode.csv,0.04,0.0,0.24,0.03,0.11,0.0,0.0,0.11,0.33,0.06,0.11,0.05,0.05,0.13,0.18,0.09,0.0,0.18
dspace-gsoc.csv,0.25,0.55,0.38,0.29,0.39,0.51,0.69,0.57,0.23,0.31,0.0,0.59,0.37,0.76,0.3,0.35,0.67,0.33
emite.csv,0.37,0.45,0.24,0.23,0.45,0.58,0.27,0.46,0.26,0.44,0.21,0.4,0.27,0.58,0.05,0.34,0.47,0.35
fbmanager.csv,0.27,0.22,0.24,0.0,0.21,0.47,0.69,0.48,0.1,0.5,0.26,0.24,0.2,0.61,0.1,0.37,0.53,0.28
freenet.csv,0.66,0.98,0.67,0.84,0.61,0.82,0.83,0.02,0.77,0.56,0.74,0.78,0.74,0.65,0.28,0.87,0.8,0.84
geogebra.csv,0.04,0.0,0.14,0.1,0.75,0.82,0.73,0.69,0.05,0.69,0.11,0.72,0.08,0.09,0.38,0.0,0.07,0.57
megameknet.csv,0.64,0.01,0.62,0.45,0.41,0.47,0.41,0.37,0.26,0.31,0.47,0.5,0.0,0.58,0.12,0.63,0.07,0.17
ondex.csv,0.4,0.21,0.43,0.39,0.37,0.51,0.46,0.49,0.62,0.25,0.21,0.29,0.51,0.0,0.55,0.43,0.2,0.07
onotoa.csv,0.75,0.93,0.29,0.65,0.78,0.8,0.73,0.82,0.82,0.12,0.63,0.79,0.85,0.34,0.95,0.77,0.6,0.84
paintown.csv,0.03,0.02,0.48,0.32,0.56,0.73,0.77,0.7,0.44,0.69,0.37,0.76,0.34,0.45,0.38,0.42,0.47,0.57
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
retromenu.csv,0.05,0.02,0.05,0.0,0.06,0.0,0.27,0.18,0.05,0.38,0.11,0.08,0.08,0.28,0.02,0.12,0.0,0.04
smbopensoft.csv,0.27,0.02,0.62,0.23,0.42,0.64,0.44,0.41,0.36,0.5,0.42,0.35,0.28,0.72,0.3,0.4,0.73,0.39
triplea.csv,0.84,0.26,0.0,0.84,0.75,0.56,0.68,0.79,0.74,0.5,0.58,0.39,0.33,0.52,0.75,0.58,0.8,0.61
tweetsharp.csv,0.58,0.92,0.48,0.55,0.47,0.49,0.51,0.4,0.44,0.62,0.53,0.45,0.55,0.67,0.57,0.43,0.0,0.75
xamj.csv,0.47,0.07,0.43,0.55,0.29,0.18,0.41,0.53,0.21,0.44,0.21,0.33,0.4,0.36,0.28,0.35,0.73,0.0
