,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.22,0.28,0.46,0.43,0.48,0.56,0.0,0.28,0.95,0.71,0.55,0.16
ctrlr.csv,0.32,0.0,0.26,0.24,0.29,0.12,0.76,0.39,0.9,0.25,0.15,0.44
dvt.csv,0.68,0.5,0.05,0.69,0.38,0.04,0.81,0.44,0.93,0.46,0.36,0.25
flylinkdc.csv,0.7,0.81,0.68,0.9,0.43,0.52,0.71,0.56,0.23,0.67,0.58,0.53
free-evolution.csv,1.0,0.58,0.74,0.67,0.76,0.56,0.19,0.44,1.0,0.67,0.61,0.69
fw4spl.csv,0.46,0.34,0.28,0.29,0.24,0.62,0.43,0.56,0.1,0.67,0.42,0.38
ipfire-wall.csv,0.41,0.64,0.29,0.19,0.0,0.21,0.14,0.89,0.0,0.04,0.09,0.25
ldview.csv,1.0,1.0,0.99,1.0,0.57,0.81,0.76,0.89,0.69,0.33,0.7,0.84
nuttx.csv,0.57,0.1,0.74,0.21,0.57,0.52,0.33,0.44,0.72,0.71,0.61,0.66
uclmda.csv,0.22,0.0,0.16,0.14,0.38,0.23,0.29,0.17,0.99,0.17,0.21,0.22
vdsf.csv,0.68,0.36,0.68,0.83,0.67,0.23,0.62,1.0,0.47,0.58,0.7,0.62
xcf.csv,0.95,0.65,0.47,0.57,0.62,0.56,0.57,1.0,0.67,0.33,0.39,0.81
