,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.8,0.6,0.57,0.48,0.52,0.48,0.88,0.61,0.26,0.63,0.52,0.89
ctrlr.csv,0.65,0.0,0.98,0.88,0.82,0.98,0.78,0.67,0.29,0.71,0.94,0.71
dvt.csv,0.47,0.55,0.91,0.62,0.63,0.96,0.68,0.52,0.26,0.59,0.55,0.81
flylinkdc.csv,0.55,0.28,0.62,0.55,0.54,0.5,0.56,0.54,0.9,0.54,0.55,0.56
free-evolution.csv,0.35,0.42,0.61,0.53,0.55,0.64,0.91,0.47,0.26,0.57,0.62,0.47
fw4spl.csv,0.6,0.66,0.71,0.77,0.88,0.59,0.56,0.5,0.94,0.48,0.68,0.67
ipfire-wall.csv,0.66,0.47,0.71,0.63,0.67,0.98,0.84,0.41,0.0,0.83,0.89,0.9
ldview.csv,0.36,0.26,0.54,0.51,0.68,0.49,0.72,0.42,0.37,0.71,0.61,0.5
nuttx.csv,0.51,0.99,0.7,0.63,0.44,0.52,0.88,0.47,0.33,0.53,0.45,0.47
uclmda.csv,0.77,0.89,0.97,0.92,0.75,0.86,0.93,0.84,0.27,0.97,0.95,0.9
vdsf.csv,0.45,0.99,0.66,0.64,0.64,0.79,0.58,0.37,0.49,0.58,0.52,0.52
xcf.csv,0.34,0.43,0.73,0.37,0.46,0.44,0.68,0.35,0.37,0.64,0.53,0.41
