,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.5,0.77,0.83,1.0,0.73,0.72,0.73,0.58,0.5,0.43,0.23,0.86
jaolt.csv,0.5,0.63,0.62,0.05,0.39,0.06,0.73,0.61,0.0,0.49,0.46,0.47
jcl.csv,0.42,0.27,0.33,0.37,0.59,0.69,0.51,0.5,0.71,0.43,0.31,0.39
kmess.csv,0.42,0.6,0.27,0.47,0.82,0.47,0.11,0.63,0.86,0.41,0.69,0.76
ossbuild.csv,0.0,0.47,0.69,0.32,0.55,0.75,0.25,0.42,0.71,0.35,0.69,0.44
qgo.csv,1.0,0.87,0.48,0.32,0.94,0.62,0.84,0.97,0.86,0.73,0.77,0.81
quark.csv,0.0,0.3,0.17,0.05,0.14,0.0,0.08,0.21,0.43,0.11,0.85,0.06
rezilla.csv,0.58,0.27,0.1,0.74,0.29,0.06,0.27,0.76,0.21,0.7,0.23,0.57
rhex.csv,0.92,0.73,0.33,0.11,0.51,0.03,0.66,0.66,0.93,0.41,0.77,0.46
toped.csv,0.25,0.73,0.75,0.95,0.84,0.88,0.74,0.42,0.93,0.41,0.92,0.78
truevision.csv,0.5,0.73,0.67,0.63,0.73,0.06,0.62,0.71,0.43,0.54,0.38,0.81
wxstudio.csv,0.58,0.07,0.29,0.05,0.16,0.06,0.34,0.55,0.07,0.73,0.0,0.26
