,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,1.0,0.04,0.06,0.14,0.04,0.02,0.04,0.03,0.05,0.05,0.03
etherboot.csv,0.0,0.2,0.56,0.95,0.29,0.41,0.25,0.13,0.36,0.36,0.44
ffigo.csv,0.4,0.28,0.42,0.5,0.36,0.64,0.42,0.51,0.97,0.63,0.52
gebr.csv,0.8,0.84,0.78,0.82,0.89,0.98,0.82,0.8,0.87,0.79,0.91
gpac.csv,0.2,0.36,0.78,0.32,0.96,0.3,0.34,0.49,0.22,0.35,0.64
libtorrent.csv,0.8,0.92,0.64,0.64,0.86,0.65,0.98,0.91,0.86,0.85,0.83
miranda.csv,0.4,0.12,0.08,0.5,0.5,0.49,0.29,0.27,0.36,0.37,0.99
modellus.csv,0.2,0.16,0.5,0.18,0.27,0.67,0.41,0.98,0.16,0.61,0.47
mplayer-ce.csv,1.0,0.72,0.5,0.73,0.73,0.85,0.71,0.64,0.64,0.96,0.74
nicepress.csv,0.2,0.32,0.97,0.09,0.32,0.37,0.29,0.02,0.07,0.47,0.45
vapor.csv,0.0,0.96,0.33,0.23,0.2,0.28,0.28,0.51,0.24,0.36,0.25
