,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.0,0.96,0.95,0.87,0.96,0.98,0.96,0.97,0.95,0.95,0.97
etherboot.csv,1.01,0.82,0.55,0.05,0.77,0.59,0.77,0.87,0.69,0.73,0.63
ffigo.csv,0.66,0.81,0.77,0.64,0.8,0.66,0.76,0.57,0.03,0.7,0.63
gebr.csv,0.64,0.8,0.55,0.73,0.96,0.02,0.64,0.6,0.63,0.79,0.81
gpac.csv,0.86,0.75,0.49,0.69,0.06,0.7,0.72,0.67,0.84,0.8,0.68
libtorrent.csv,0.95,0.76,0.6,0.76,0.97,0.44,0.02,0.75,0.81,0.83,0.67
miranda.csv,0.63,0.89,0.92,0.69,0.71,0.53,0.71,0.74,0.65,0.74,0.02
modellus.csv,0.92,0.89,0.59,0.85,0.75,0.76,0.63,0.02,0.84,0.69,0.63
mplayer-ce.csv,0.76,0.8,0.81,0.85,0.71,1.01,0.83,0.89,0.83,0.04,0.8
nicepress.csv,0.82,0.74,0.03,0.92,0.73,0.63,0.71,0.98,0.94,0.76,0.63
vapor.csv,1.0,0.04,0.72,0.8,0.83,0.73,0.76,0.79,0.77,0.73,0.79
