,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,1.0,0.5,0.25,0.33,0.67,0.5,1.0,0.33,0.8,0.33,0.5
etherboot.csv,0.0,0.26,0.48,1.0,0.55,0.95,0.89,0.65,0.71,0.47,0.74
ffigo.csv,0.1,0.21,0.3,0.31,0.48,0.75,0.82,0.63,1.0,0.47,0.71
gebr.csv,0.09,0.27,0.44,0.3,0.53,1.0,0.88,0.58,0.71,0.46,0.69
gpac.csv,0.05,0.24,0.48,0.47,0.96,1.0,0.87,0.53,0.55,0.38,0.68
libtorrent.csv,0.06,0.3,0.41,0.25,0.52,0.86,1.0,0.55,0.65,0.46,0.71
miranda.csv,0.13,0.23,0.43,0.28,0.54,0.91,1.0,0.79,0.84,0.44,1.0
modellus.csv,0.03,0.16,0.45,0.21,0.65,0.72,0.91,1.0,0.86,0.47,0.73
mplayer-ce.csv,0.09,0.25,0.29,0.25,0.57,0.69,0.83,0.44,0.6,1.0,0.65
nicepress.csv,0.08,0.28,1.0,0.2,0.58,0.97,0.97,0.18,0.71,0.41,0.74
vapor.csv,0.0,1.0,0.39,0.28,0.55,0.87,0.87,0.45,0.86,0.46,0.67
