,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.8,0.5,0.88,0.89,0.67,0.75,0.75,0.89,0.8,0.98,0.92
etherboot.csv,0.88,0.84,0.57,0.86,0.69,0.62,0.78,0.94,0.55,0.63,0.53
ffigo.csv,0.62,0.68,0.64,0.54,0.6,0.62,0.56,0.56,0.46,0.46,0.51
gebr.csv,0.42,0.39,0.46,0.43,0.31,0.47,0.34,0.36,0.38,0.38,0.33
gpac.csv,0.91,0.57,0.5,0.87,0.46,0.69,0.63,0.61,0.74,0.57,0.39
libtorrent.csv,0.5,0.39,0.45,0.45,0.32,0.45,0.37,0.38,0.39,0.35,0.36
miranda.csv,0.6,0.92,0.86,0.55,0.5,0.45,0.68,0.9,0.59,0.7,0.4
modellus.csv,0.68,0.92,0.65,0.79,0.96,0.63,0.61,0.48,0.93,0.57,0.55
mplayer-ce.csv,0.61,0.48,0.58,0.49,0.42,0.51,0.46,0.47,0.5,0.6,0.42
nicepress.csv,0.92,0.59,0.6,0.9,0.68,0.54,0.62,0.91,0.86,0.61,0.45
vapor.csv,0.0,0.79,0.74,0.89,0.95,0.74,0.81,0.61,0.95,0.75,0.89
