,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,uwom.csv,geochat.csv
adaptagrams.csv,0.18,0.26,0.18,0.16,0.16,0.16,0.28
aime.csv,0.28,0.43,0.28,0.35,0.18,0.19,0.27
badtrinitycore.csv,0.32,0.44,0.2,0.18,0.12,0.17,0.16
electric-core.csv,0.24,0.33,0.19,0.18,0.39,0.23,0.26
geochat.csv,0.26,0.43,0.3,0.29,0.39,0.29,0.2
olsrd.csv,0.26,0.22,0.22,0.2,0.2,0.19,0.26
uwom.csv,0.18,0.44,0.27,0.21,0.37,0.24,0.35
