,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.49,0.32,0.23,0.47,0.42,0.53,0.39,0.41,0.45,0.39,0.95,0.46,0.54,0.78,0.53,0.82,0.06
emeraldemu.csv,0.54,0.32,0.26,0.38,0.41,0.35,0.38,0.96,0.45,0.27,0.6,0.24,0.5,0.48,0.54,0.58,0.22
grafx2.csv,0.66,0.32,0.15,0.31,0.4,0.31,0.44,0.58,0.46,0.64,0.53,0.42,0.58,0.98,0.69,0.81,0.15
jahshakafx.csv,0.95,0.29,0.27,0.1,0.36,0.19,0.17,0.48,0.29,0.26,0.36,0.13,0.31,0.2,0.53,0.48,0.15
kindb.csv,0.65,0.33,0.18,0.38,0.51,0.53,0.5,0.61,0.52,0.65,0.59,0.5,0.64,0.68,0.64,0.99,0.14
maya-work-in-progress.csv,0.51,0.24,0.16,0.35,0.76,0.69,0.47,0.48,0.59,0.98,0.63,0.52,0.75,0.7,0.71,0.68,0.09
novembre.csv,0.59,0.34,0.14,0.11,0.33,0.31,0.97,0.49,0.26,0.4,0.43,0.34,0.54,0.69,0.38,0.84,0.33
ns-3.csv,0.54,0.2,0.14,0.31,0.67,0.99,0.45,0.49,0.61,0.62,0.6,0.42,0.78,0.67,0.69,0.81,0.07
nullc.csv,0.44,0.19,0.11,0.22,0.99,0.75,0.44,0.45,0.54,0.53,0.57,0.41,0.84,0.76,0.8,0.82,0.1
open-beos.csv,0.57,0.27,0.24,0.34,0.57,0.53,0.39,0.46,0.98,0.56,0.52,0.36,0.63,0.69,0.7,0.71,0.13
pixel-commandos.csv,0.36,0.31,0.19,0.23,0.21,0.1,0.22,0.4,0.1,0.0,0.24,0.07,0.24,0.46,0.35,0.26,1.0
planeshift.csv,0.55,0.22,0.11,0.24,0.64,0.73,0.44,0.54,0.57,0.51,0.64,0.42,1.0,0.73,0.77,0.82,0.13
plee-the-bear.csv,0.27,0.14,0.89,0.14,0.67,0.68,0.34,0.31,0.48,0.53,0.53,0.33,0.63,0.36,0.54,0.55,0.04
reaper-ecad.csv,0.34,0.04,0.11,0.98,0.74,0.65,0.51,0.38,0.38,0.47,0.48,0.0,0.43,0.04,0.54,0.62,0.07
sbml.csv,0.61,0.24,0.15,0.33,0.64,0.67,0.39,0.53,0.56,0.62,0.62,0.56,0.82,0.65,0.99,0.77,0.12
unimrcp.csv,0.55,0.32,0.28,0.36,0.45,0.16,0.32,0.45,0.23,0.34,0.42,0.96,0.27,0.39,0.33,0.49,0.11
unladen-swallow.csv,0.15,0.62,0.07,0.09,0.43,0.59,0.36,0.31,0.39,0.46,0.14,0.23,0.42,0.3,0.5,0.69,0.0
