,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.5,0.68,0.59,0.62,0.32,0.45,0.56,0.5,0.41,0.29,0.96,0.61,0.44,0.75,0.43,0.75,0.29
emeraldemu.csv,0.7,0.57,0.62,0.65,0.3,0.28,0.38,0.94,0.38,0.19,0.6,0.23,0.4,0.41,0.46,0.5,0.55
grafx2.csv,0.77,0.73,0.66,0.73,0.3,0.24,0.55,0.64,0.45,0.58,0.52,0.51,0.48,0.96,0.61,0.75,0.54
jahshakafx.csv,0.93,0.46,0.41,0.1,0.26,0.13,0.16,0.44,0.23,0.19,0.33,0.09,0.23,0.15,0.42,0.37,0.29
kindb.csv,0.79,0.77,0.73,0.78,0.41,0.46,0.69,0.71,0.53,0.65,0.59,0.66,0.54,0.65,0.56,0.98,0.71
maya-work-in-progress.csv,0.6,0.59,0.7,0.7,0.65,0.62,0.6,0.63,0.68,1.0,0.57,0.74,0.57,0.67,0.64,0.61,0.62
novembre.csv,0.6,0.56,0.54,0.14,0.24,0.24,0.94,0.56,0.21,0.35,0.42,0.49,0.44,0.69,0.3,0.75,0.77
ns-3.csv,0.7,0.52,0.66,0.73,0.53,0.99,0.58,0.6,0.7,0.7,0.6,0.0,0.52,0.13,0.53,0.0,0.49
nullc.csv,0.58,0.39,0.0,0.0,0.98,0.41,0.21,0.55,0.27,0.43,0.56,0.49,0.09,0.76,0.47,0.24,0.57
open-beos.csv,0.66,0.5,0.73,0.54,0.46,0.46,0.53,0.56,0.97,0.49,0.52,0.52,0.52,0.67,0.62,0.64,0.53
pixel-commandos.csv,0.28,0.55,0.35,0.49,0.15,0.06,0.16,0.34,0.06,0.0,0.17,0.05,0.17,0.35,0.25,0.18,1.0
planeshift.csv,0.72,0.48,0.3,0.42,0.49,0.58,0.46,0.69,0.62,0.57,0.5,0.43,1.0,0.74,0.68,0.61,0.77
plee-the-bear.csv,0.39,0.13,0.85,0.1,0.0,0.26,0.49,0.4,0.32,0.17,0.49,0.25,0.45,0.32,0.39,0.31,0.15
reaper-ecad.csv,0.47,0.04,0.55,0.97,0.44,0.48,0.67,0.49,0.44,0.53,0.48,0.0,0.34,0.02,0.43,0.22,0.48
sbml.csv,0.77,0.65,0.7,0.77,0.53,0.61,0.53,0.69,0.64,0.69,0.6,0.75,0.67,0.56,0.98,0.0,0.72
unimrcp.csv,0.54,0.5,0.44,0.54,0.34,0.11,0.31,0.41,0.16,0.26,0.39,0.94,0.19,0.3,0.24,0.37,0.29
unladen-swallow.csv,0.13,0.59,0.39,0.24,0.31,0.49,0.49,0.41,0.45,0.34,0.1,0.36,0.33,0.29,0.39,0.52,0.0
