,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,3.0,11.0,44.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,2.0,25.0
emeraldemu.csv,43.0,20.0,30.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0
grafx2.csv,2.0,1.0,98.0,36.0,0.0,2.0,0.0,12.0,7.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,13.0
jahshakafx.csv,0.0,22.0,29.0,10.0,0.0,0.0,5.0,2.0,2.0,0.0,3.0,1.0,6.0,2.0,0.0,0.0,3.0
kindb.csv,5.0,11.0,80.0,3.0,1.0,2.0,5.0,21.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,21.0
maya-work-in-progress.csv,75.0,1.0,99.0,0.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,6.0,1.0,0.0,1.0,3.0,36.0
novembre.csv,7.0,0.0,12.0,19.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,1.0,2.0,4.0,2.0,4.0
ns-3.csv,36.0,1.0,37.0,21.0,0.0,0.0,6.0,7.0,1.0,0.0,2.0,14.0,2.0,2.0,0.0,2.0,12.0
nullc.csv,65.0,3.0,58.0,80.0,0.0,0.0,6.0,3.0,8.0,0.0,1.0,11.0,3.0,2.0,1.0,2.0,35.0
open-beos.csv,3.0,11.0,26.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,3.0,1.0,3.0,3.0,18.0
pixel-commandos.csv,1.0,4.0,22.0,26.0,0.0,0.0,1.0,3.0,1.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
planeshift.csv,53.0,2.0,65.0,69.0,1.0,0.0,4.0,6.0,5.0,0.0,0.0,12.0,0.0,1.0,6.0,1.0,18.0
plee-the-bear.csv,97.0,26.0,0.0,1.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,14.0,2.0,2.0,1.0,2.0,44.0
reaper-ecad.csv,96.0,16.0,44.0,0.0,0.0,0.0,4.0,7.0,8.0,0.0,0.0,100.0,2.0,0.0,1.0,2.0,42.0
sbml.csv,14.0,2.0,13.0,19.0,0.0,0.0,4.0,16.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,17.0
unimrcp.csv,1.0,7.0,10.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
unladen-swallow.csv,11.0,0.0,46.0,51.0,1.0,1.0,3.0,6.0,5.0,0.0,2.0,13.0,2.0,2.0,7.0,2.0,94.0
