,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.57,0.47,0.5,0.44,0.74,0.64,0.68,0.64,0.66,0.75,0.08,0.74,0.64,0.32,0.64,0.52,0.82
emeraldemu.csv,0.51,0.52,0.46,0.44,0.75,0.8,0.68,0.07,0.67,0.84,0.63,0.82,0.69,0.66,0.66,0.61,0.52
grafx2.csv,0.33,0.47,0.56,0.53,0.76,0.81,0.57,0.45,0.64,0.48,0.75,0.6,0.6,0.05,0.5,0.32,0.55
jahshakafx.csv,0.08,0.61,0.64,0.92,0.78,0.9,0.88,0.62,0.81,0.84,0.78,0.93,0.84,0.89,0.63,0.68,0.76
kindb.csv,0.36,0.46,0.49,0.4,0.67,0.69,0.52,0.41,0.57,0.43,0.59,0.49,0.53,0.44,0.55,0.03,0.47
maya-work-in-progress.csv,0.75,0.59,0.55,0.45,0.56,0.6,0.75,0.67,0.59,0.02,0.77,0.57,0.74,0.42,0.56,0.52,0.67
novembre.csv,0.46,0.52,0.6,0.89,0.8,0.82,0.07,0.55,0.83,0.71,0.75,0.71,0.64,0.59,0.79,0.57,0.28
ns-3.csv,0.52,0.8,0.7,0.53,0.7,0.02,0.76,0.73,0.58,0.58,0.63,1.0,0.81,0.98,0.79,1.0,0.73
nullc.csv,0.73,0.89,1.0,1.0,0.02,0.88,0.95,0.77,0.93,0.87,0.59,0.84,0.98,0.51,0.85,0.94,0.79
open-beos.csv,0.45,0.6,0.38,0.54,0.64,0.65,0.65,0.59,0.04,0.57,0.71,0.78,0.67,0.44,0.5,0.51,0.57
pixel-commandos.csv,0.76,0.54,0.71,0.65,0.88,0.95,0.87,0.72,0.95,1.0,0.86,0.96,0.87,0.7,0.79,0.85,0.0
planeshift.csv,0.62,0.84,0.92,0.87,0.79,0.74,0.85,0.65,0.7,0.65,0.82,0.87,0.02,0.47,0.61,0.75,0.6
plee-the-bear.csv,0.92,0.9,0.18,0.92,1.07,0.96,0.83,0.92,0.93,0.97,0.82,0.98,0.87,1.01,0.93,0.99,1.08
reaper-ecad.csv,0.82,0.97,0.69,0.04,0.87,0.84,0.48,0.71,0.82,0.71,0.72,1.0,0.8,0.98,0.87,1.0,0.77
sbml.csv,0.42,0.68,0.57,0.54,0.57,0.58,0.8,0.63,0.64,0.53,0.68,0.45,0.63,0.49,0.03,1.0,0.66
unimrcp.csv,0.53,0.57,0.61,0.53,0.72,0.91,0.75,0.65,0.87,0.78,0.72,0.07,0.84,0.75,0.8,0.68,0.77
unladen-swallow.csv,0.9,0.46,0.86,0.94,1.0,0.82,0.68,0.8,0.84,0.95,0.92,0.92,0.79,0.9,0.91,0.81,1.24
