,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.58,0.2,0.31,0.14,0.74,0.77,0.57,0.31,0.31,0.68,0.64,0.22,0.43
echongl.csv,0.39,0.24,0.85,0.78,0.18,0.62,0.53,0.69,0.18,0.06,0.85,0.67,0.0
les-indemodables.csv,0.46,0.18,0.56,0.66,0.55,0.74,0.56,0.38,0.55,0.32,0.16,0.29,0.29
mbse.csv,0.22,0.18,0.47,0.37,0.87,0.5,0.48,0.23,0.35,0.26,0.37,0.34,0.14
ns-3-dev-def-routing.csv,0.43,0.29,0.8,0.99,0.13,0.34,0.34,0.69,0.33,0.69,0.07,0.57,1.0
psycle.csv,0.49,0.25,0.71,0.81,0.95,0.76,0.73,0.54,0.55,0.85,0.97,0.61,0.43
qpe.csv,0.28,0.07,0.23,0.56,0.03,0.15,0.42,0.15,0.18,0.08,0.49,0.13,0.14
simplewebservices.csv,0.94,0.85,0.82,1.0,1.0,0.83,0.88,0.85,0.88,1.0,0.33,0.46,1.0
v8.csv,0.5,0.75,0.42,0.89,1.0,0.5,0.77,0.15,0.59,0.82,0.86,0.43,1.0
wikipediardware.csv,0.39,0.22,0.83,0.95,0.92,0.95,0.76,0.46,0.39,0.83,0.94,0.5,0.21
wxstudio.csv,0.35,0.14,0.35,0.16,0.37,0.57,0.24,0.23,0.24,0.34,0.02,0.21,0.5
xamj.csv,0.42,0.47,0.2,0.95,0.37,0.52,0.73,0.38,0.41,0.55,0.38,0.22,0.29
