,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.74,0.46,0.65,0.85,0.66,0.79,0.61,0.68,0.39,0.77
ibatisdb.csv,0.82,1.02,0.94,0.86,0.68,0.77,0.99,0.7,0.6,0.26
jmol.csv,0.69,0.98,0.92,0.7,0.98,0.46,0.68,1.0,0.78,0.95
liferea.csv,0.56,0.85,0.63,0.32,0.75,0.73,1.01,0.59,0.88,0.88
log4net.csv,0.82,0.83,0.76,0.72,0.13,0.77,0.63,0.62,0.83,0.86
pclasses.csv,0.34,0.84,0.79,0.85,0.51,0.8,0.76,0.98,0.79,0.92
psrchive.csv,0.77,0.38,0.24,0.67,0.4,0.9,0.72,0.76,0.65,0.89
re2c.csv,0.83,0.02,0.64,0.73,0.52,0.89,0.89,0.71,0.92,0.78
tycho.csv,0.74,0.35,0.61,0.74,0.7,0.78,0.33,0.77,0.76,1.05
xfce.csv,0.51,1.06,0.65,0.61,0.68,0.75,0.61,0.49,0.73,0.82
