,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.3,0.2,0.38,1.0,0.03,1.0,0.65,0.82,0.5,0.28
ibatisdb.csv,0.33,0.0,0.08,0.18,0.06,0.92,0.26,0.7,0.26,0.62
jmol.csv,0.17,0.11,0.14,0.23,0.02,0.9,0.58,0.69,0.22,0.26
liferea.csv,0.24,0.07,0.19,0.5,0.02,0.82,0.0,0.76,0.12,0.23
log4net.csv,0.67,1.0,0.14,0.23,0.15,0.84,0.63,0.79,0.17,0.21
pclasses.csv,0.42,0.2,0.3,0.33,0.04,0.82,0.52,1.0,0.16,0.14
psrchive.csv,0.18,0.31,0.43,0.26,0.07,0.79,0.65,0.69,0.24,0.15
re2c.csv,0.18,0.86,0.18,0.23,0.04,0.71,0.58,0.73,0.1,0.26
tycho.csv,0.25,0.44,0.26,0.27,0.03,0.83,0.81,0.78,0.22,0.12
xfce.csv,0.26,0.05,0.19,0.32,0.03,0.8,0.62,0.8,0.18,0.19
