,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.29,0.31,0.37,0.27,0.06,0.34,0.56,0.49,0.56,0.42
ibatisdb.csv,0.24,0.0,0.07,0.27,0.1,0.38,0.19,0.55,0.34,0.7
jmol.csv,0.26,0.19,0.24,0.33,0.04,0.78,0.56,0.82,0.35,0.41
liferea.csv,0.38,0.11,0.28,0.61,0.04,0.73,0.0,0.72,0.14,0.17
log4net.csv,0.29,0.29,0.2,0.33,0.26,0.39,0.55,0.57,0.18,0.19
pclasses.csv,0.53,0.18,0.25,0.21,0.07,0.36,0.45,0.04,0.21,0.17
psrchive.csv,0.21,0.42,0.59,0.37,0.12,0.19,0.42,0.7,0.31,0.16
re2c.csv,0.18,0.92,0.28,0.29,0.07,0.25,0.74,0.47,0.14,0.39
tycho.csv,0.26,0.53,0.32,0.29,0.06,0.38,0.78,0.37,0.24,0.17
xfce.csv,0.41,0.08,0.29,0.37,0.05,0.65,0.6,0.74,0.28,0.25
