,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.27,0.67,0.36,0.15,1.0,0.21,0.49,0.34,0.63,0.86
ibatisdb.csv,0.18,0.0,0.07,0.54,0.33,0.24,0.14,0.45,0.5,0.81
jmol.csv,0.55,1.0,0.79,0.54,1.0,0.69,0.54,0.99,0.93,0.97
liferea.csv,0.91,0.33,0.57,0.77,0.33,0.66,0.0,0.68,0.17,0.14
log4net.csv,0.18,0.17,0.36,0.62,1.0,0.26,0.49,0.45,0.2,0.17
pclasses.csv,0.73,0.17,0.21,0.15,0.67,0.23,0.4,0.02,0.3,0.22
psrchive.csv,0.27,0.67,0.93,0.69,0.67,0.11,0.31,0.71,0.43,0.17
re2c.csv,0.18,1.0,0.57,0.38,0.67,0.15,1.0,0.35,0.23,0.78
tycho.csv,0.27,0.67,0.43,0.31,0.33,0.25,0.74,0.24,0.27,0.31
xfce.csv,0.91,0.33,0.71,0.46,0.67,0.55,0.57,0.7,0.6,0.36
