,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.08,0.0,0.62,0.09,0.41,0.53,0.37,0.12,0.15,0.0,0.31,0.25,0.22,0.56,0.36,0.0,0.37
codeblocks.csv,0.54,0.73,0.29,0.47,0.31,0.64,0.77,0.29,0.59,0.15,0.1,0.4,0.81,0.55,0.48,0.45,0.25
grisbi.csv,0.65,0.78,0.67,0.75,0.36,0.65,0.92,0.19,0.52,0.22,0.13,0.48,0.96,0.53,0.54,0.96,0.76
libmesh.csv,0.32,0.32,0.58,0.24,0.24,0.05,0.49,0.25,0.51,0.2,0.04,0.3,0.68,0.5,0.0,0.27,0.15
panda3d.csv,0.11,0.64,0.63,0.55,0.18,0.52,0.67,0.09,0.4,0.29,0.12,0.53,0.8,0.68,0.29,0.24,0.27
proftp.csv,0.26,0.43,0.41,0.09,0.31,0.72,0.48,0.21,0.22,0.0,0.0,0.36,0.04,0.36,0.55,0.24,0.05
red5.csv,0.54,0.8,0.67,0.71,0.34,0.61,0.67,0.25,0.56,0.16,0.11,0.42,0.91,0.56,0.51,0.93,0.42
skia.csv,0.4,0.39,0.55,0.55,0.43,0.69,0.69,0.32,0.23,0.18,0.07,0.33,0.22,0.29,0.62,0.52,0.28
soar.csv,0.64,0.86,0.62,0.73,0.34,0.62,0.9,0.19,0.53,0.2,0.1,0.47,0.97,0.63,0.5,0.98,0.76
super-tux.csv,0.41,0.82,0.62,0.61,0.33,0.63,0.69,0.29,0.56,0.2,0.11,0.46,0.95,0.0,0.52,0.98,0.47
t-2.csv,0.44,0.8,0.5,0.32,0.36,0.1,0.87,0.44,0.62,0.2,0.14,0.33,0.92,0.62,0.31,0.73,0.48
tart.csv,0.37,0.23,0.62,0.47,0.41,0.67,0.92,0.12,0.29,0.21,0.27,0.37,0.56,0.49,0.42,0.02,0.4
tcvp.csv,0.09,0.22,0.0,0.09,0.0,0.0,0.0,0.07,0.0,0.43,0.0,0.0,0.02,0.0,0.06,0.04,0.0
tencompetence.csv,0.52,0.18,0.35,0.27,0.23,0.1,0.21,0.12,0.52,0.0,0.0,0.36,0.65,0.61,0.28,0.32,0.83
utgb.csv,0.08,0.5,0.72,0.44,0.22,0.43,0.24,0.03,0.15,0.27,0.14,0.47,0.51,0.49,0.41,0.43,0.29
xbrlapi.csv,0.69,0.08,0.47,0.59,0.33,0.4,0.62,0.21,0.29,0.0,0.08,0.21,0.02,0.69,0.07,0.0,0.37
zemljanka.csv,0.62,0.76,0.69,0.73,0.38,0.62,0.86,0.22,0.33,0.21,0.13,0.45,0.78,0.68,0.53,0.9,0.79
