,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.76,0.82,0.98,0.75,0.69,0.69,0.26,0.91,0.8,0.6,0.87,0.56,0.66,0.95,1.02,0.56,0.86,0.72,0.37
bulmages.csv,0.68,0.7,0.98,0.85,0.94,0.87,0.63,0.94,0.98,0.6,0.61,0.55,1.0,0.97,1.0,0.68,0.69,0.77,1.0
forester-atv.csv,0.91,0.56,0.86,0.93,0.43,0.92,0.96,0.78,0.63,0.77,0.9,0.95,0.95,0.9,0.85,1.0,1.0,0.89,1.0
google-collections.csv,0.97,0.19,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hannosset.csv,0.85,0.56,0.95,0.91,0.83,0.8,1.0,0.57,0.99,0.92,0.77,0.84,0.73,0.9,0.26,0.79,0.79,0.97,0.87
jbpm.csv,0.97,1.0,1.0,0.83,0.83,0.94,0.79,0.98,0.3,1.0,0.98,1.0,0.88,1.0,1.0,1.0,1.0,0.9,0.75
mevenide.csv,0.75,0.78,0.99,0.8,0.66,0.79,0.66,0.98,0.53,0.52,0.76,0.91,0.93,0.89,1.0,0.95,0.95,0.32,0.75
nassp.csv,0.65,0.49,0.99,0.75,0.77,0.61,0.75,0.75,0.95,0.26,0.85,0.82,0.75,0.95,0.84,0.88,0.88,0.93,1.0
open-media-library.csv,0.57,1.31,0.96,0.38,0.57,0.66,0.56,0.68,0.58,0.51,0.43,0.44,0.75,0.79,0.8,0.52,0.76,0.55,0.76
opendvr.csv,0.86,0.82,0.81,0.91,0.56,0.56,0.74,0.84,0.44,1.01,0.68,0.84,0.78,0.79,0.7,0.72,0.49,0.91,0.76
openefm.csv,0.55,0.91,0.71,0.64,0.85,0.42,0.98,0.81,0.78,0.69,0.6,0.65,0.82,0.77,0.84,0.9,0.76,0.74,1.03
oppna-program-hsatools.csv,0.52,0.66,1.0,0.59,0.69,0.65,0.87,0.92,0.55,0.77,0.22,0.61,0.86,0.93,0.53,0.61,0.68,1.0,1.04
paintown.csv,0.38,1.0,1.0,0.84,0.93,0.96,0.48,0.8,0.99,0.76,0.78,0.72,1.0,1.0,0.7,0.75,0.84,1.0,1.0
projectfactory.csv,0.68,0.9,0.63,0.62,0.72,0.49,0.61,0.8,0.59,0.51,0.69,0.66,0.6,0.54,0.89,0.57,0.83,0.8,0.66
smbopensoft.csv,0.98,1.02,0.28,0.91,0.73,0.79,0.83,0.75,0.71,0.59,1.05,0.84,1.0,0.54,0.94,0.96,0.96,0.86,0.54
st-filteredstatistics.csv,0.59,0.64,0.96,0.98,0.86,0.78,0.98,0.79,0.86,0.66,0.4,0.81,0.29,1.0,0.83,0.57,0.84,0.9,0.92
thedata.csv,0.6,1.05,1.0,0.68,0.51,0.87,0.82,0.69,0.95,0.76,0.87,0.6,0.68,0.82,0.73,0.51,0.71,0.87,0.03
trackit.csv,0.93,0.69,0.98,0.86,0.71,0.88,0.78,0.63,0.96,1.01,1.19,0.77,0.72,0.95,0.79,0.74,0.85,1.0,0.59
wxstudio.csv,0.82,0.43,0.95,0.92,0.88,0.82,0.92,0.83,0.9,0.99,0.73,0.79,0.91,0.88,0.7,0.36,0.87,0.95,0.78
