,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.67,0.49,0.58,0.72,0.8,0.6,0.62,0.82,0.0,0.59,0.88,0.61,0.87,0.84,0.46,0.64,0.74,1.04
arsenal-1.csv,0.6,0.57,0.93,0.82,0.94,0.73,0.78,0.04,0.62,0.94,0.85,0.51,0.93,0.8,0.64,0.75,0.94,1.04
atomsite.csv,0.65,0.6,0.59,0.86,0.62,0.74,0.05,0.51,0.49,0.79,0.65,0.6,0.88,0.89,0.6,0.63,0.59,1.05
barracudamvc.csv,0.6,0.5,0.82,0.0,0.93,0.82,0.7,0.9,0.85,0.87,0.91,0.98,0.82,0.73,0.9,0.85,0.87,0.83
emisview.csv,0.92,1.0,0.96,0.87,0.73,0.93,0.7,0.96,0.68,0.04,0.9,0.8,1.0,0.81,0.87,0.8,0.85,1.04
findbugs.csv,0.74,0.5,0.66,0.64,0.66,0.86,0.9,0.72,0.63,0.73,0.82,0.63,0.66,0.85,0.77,0.14,0.84,0.43
jitterbit.csv,0.8,0.77,0.77,0.77,0.96,0.66,0.79,0.9,0.58,0.7,0.88,0.08,0.8,0.94,0.56,0.53,0.66,1.06
lite.csv,0.69,0.99,0.86,0.77,0.95,0.73,0.74,0.93,0.64,0.78,0.9,0.81,0.95,0.79,0.0,0.8,0.87,1.02
megasquirtavr.csv,0.67,0.47,0.95,0.81,0.35,0.97,0.54,0.73,0.69,0.91,0.7,0.52,0.81,0.95,0.64,0.82,0.55,0.84
ontopia.csv,0.51,1.0,1.0,0.91,0.8,0.91,0.81,0.94,0.72,0.98,0.96,0.98,0.88,0.0,0.85,0.73,0.81,0.92
openintents.csv,0.54,1.08,0.61,0.77,0.94,0.04,0.55,0.73,0.37,0.8,0.75,0.73,0.72,0.88,0.59,0.8,0.75,0.68
rectracker.csv,0.93,0.97,0.02,0.82,0.97,0.82,1.0,0.57,0.87,0.76,0.91,0.81,0.63,1.0,0.81,0.68,0.97,0.65
stajistics.csv,0.62,0.77,0.66,0.72,0.85,0.62,0.45,0.72,0.51,0.64,0.74,0.69,1.14,0.81,0.37,0.63,0.07,1.07
trackit.csv,0.56,0.9,0.54,0.85,0.8,0.94,0.83,0.58,0.59,0.81,0.0,0.81,0.64,0.71,0.75,0.6,0.8,0.39
wxlua.csv,0.96,0.95,0.65,0.81,0.95,0.93,0.93,0.72,0.88,0.86,0.8,0.71,0.25,0.59,0.83,0.76,0.89,1.22
x4x.csv,0.0,0.75,0.49,0.59,0.75,0.8,0.76,0.69,0.9,0.75,0.81,0.86,0.62,0.95,0.83,0.79,0.62,1.28
xharbour.csv,1.0,0.05,0.96,1.0,0.52,0.98,0.73,1.0,0.78,0.81,0.87,0.9,0.68,0.72,0.9,0.82,0.9,1.0
