,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.49,0.5,0.51,0.51,0.47,0.51,0.27,0.96,0.43,0.22,0.39,0.86,0.33,0.44,0.66
cornerstone.csv,0.01,0.12,0.37,0.01,0.33,0.3,0.15,0.18,0.13,0.22,0.0,0.12,0.3,0.06,0.02
esmf.csv,0.79,0.27,0.22,0.68,0.94,0.79,0.57,0.22,0.53,0.97,0.44,0.8,0.12,1.0,0.8
frogatto.csv,0.48,0.57,0.61,0.63,0.77,0.62,0.27,0.97,0.43,0.33,0.72,0.95,0.3,0.69,0.62
gretl.csv,0.4,0.57,0.85,0.61,0.45,0.57,0.98,0.63,0.43,0.42,0.33,0.65,0.97,0.19,0.45
kindb.csv,0.65,0.2,0.71,0.52,0.09,0.81,0.77,0.69,0.03,0.0,0.33,0.49,0.36,0.12,0.45
libtorrent.csv,0.83,0.61,0.49,0.7,0.88,0.85,0.96,0.63,0.57,0.36,0.33,0.43,0.55,0.56,0.84
mia.csv,0.21,0.09,0.05,0.27,0.28,0.43,0.02,0.21,0.23,0.08,0.39,0.38,0.0,0.38,0.16
open-beos.csv,0.4,0.38,0.29,0.26,0.28,0.26,0.28,0.33,0.43,0.19,0.0,0.3,0.18,0.62,0.24
pidgin.csv,0.47,0.19,0.24,0.35,0.34,0.64,0.18,0.11,0.2,0.11,0.22,0.3,0.15,0.0,0.46
quantlib.csv,0.28,1.0,1.0,1.0,1.0,0.45,0.18,0.08,1.0,0.0,0.72,0.46,0.0,1.0,0.32
riff-evolve.csv,0.23,0.24,0.39,0.18,0.17,0.53,0.22,0.51,0.07,0.0,0.11,0.24,0.18,0.06,0.17
tokratan.csv,0.2,0.57,0.07,0.48,0.92,0.38,0.24,0.98,0.4,0.31,0.33,0.4,0.03,0.38,0.09
upp-mirror.csv,0.08,0.2,0.37,0.16,0.23,0.11,0.02,0.16,0.1,0.03,0.22,0.26,0.24,0.0,0.14
wxcrp.csv,0.23,0.91,0.46,0.91,0.91,0.68,0.83,0.94,0.07,0.72,0.5,0.97,0.36,0.19,0.6
