,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.4,0.28,0.62,0.47,0.81,0.56,0.21,0.09,0.88,0.65,0.91,0.47,0.63,0.81,0.2
cornerstone.csv,0.5,0.38,0.7,0.7,0.84,0.71,0.18,0.09,0.93,0.58,1.0,0.58,0.72,0.95,0.33
esmf.csv,0.31,0.37,0.36,0.44,0.72,0.48,0.11,0.17,0.87,0.36,0.9,0.49,0.33,0.68,0.16
frogatto.csv,0.43,0.28,0.66,0.44,0.75,0.56,0.25,0.09,0.89,0.5,0.87,0.5,0.71,0.74,0.24
gretl.csv,0.39,0.21,0.61,0.44,0.79,0.56,0.11,0.11,0.89,0.46,0.9,0.53,0.52,0.89,0.26
kindb.csv,0.35,0.34,0.63,0.48,0.92,0.5,0.13,0.12,0.98,1.0,0.91,0.54,0.64,0.94,0.25
libtorrent.csv,0.33,0.27,0.66,0.46,0.74,0.52,0.11,0.1,0.88,0.46,0.93,0.55,0.61,0.79,0.21
mia.csv,0.5,0.33,0.6,0.47,0.75,0.56,0.5,0.27,0.87,0.62,0.89,0.38,0.0,0.81,0.25
open-beos.csv,0.35,0.28,0.67,0.6,0.84,0.61,0.12,0.11,0.9,0.5,1.0,0.63,0.79,0.77,0.23
pidgin.csv,0.29,0.4,0.63,0.52,0.85,0.51,0.21,0.17,0.92,0.43,0.9,0.58,0.78,1.0,0.17
quantlib.csv,0.45,0.21,0.61,0.4,0.72,0.45,0.12,0.22,0.83,0.0,0.86,0.37,0.0,0.68,0.36
riff-evolve.csv,0.41,0.37,0.72,0.61,0.9,0.56,0.29,0.13,0.96,1.0,0.96,0.73,0.78,0.94,0.2
tokratan.csv,0.52,0.27,0.77,0.45,0.71,0.6,0.19,0.09,0.9,0.52,0.91,0.62,0.89,0.83,0.1
upp-mirror.csv,0.4,0.3,0.73,0.47,0.84,0.76,0.25,0.26,0.91,0.75,0.87,0.61,0.69,1.0,0.35
wxcrp.csv,0.48,0.21,0.58,0.4,0.72,0.5,0.1,0.08,0.96,0.42,0.86,0.48,0.5,0.86,0.23
