,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.85,0.85,0.83,0.16,0.47,0.1,0.5,0.8,0.2,0.5,0.66
linux-ntfs.csv,0.67,0.57,0.63,0.13,0.3,0.65,0.79,0.52,0.16,0.78,0.41
olap-navigator.csv,0.11,0.64,0.34,0.16,0.34,0.22,0.43,0.6,0.79,0.17,0.86
phonon-vlc-mplayer.csv,0.04,0.39,0.18,0.33,0.53,0.57,0.51,0.15,0.77,0.07,0.72
qgis.csv,0.04,0.28,0.49,0.05,0.04,0.86,0.74,0.49,0.93,0.36,0.72
qse.csv,0.04,0.2,0.28,0.01,0.15,0.39,0.62,0.36,0.52,0.35,0.07
rebecca-aiml.csv,0.11,0.14,0.2,0.37,0.13,0.92,0.42,0.12,0.13,0.15,0.52
roller.csv,0.37,0.72,0.96,1.0,0.87,0.2,0.53,1.0,1.0,0.51,1.0
xapian.csv,0.48,0.76,0.46,0.62,0.55,0.88,0.92,0.98,1.0,0.17,0.9
zoolib.csv,0.04,0.23,0.13,0.01,0.0,0.41,0.35,0.22,0.37,0.07,0.66
