,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.46,0.43,0.47,0.81,0.65,0.52,0.0,0.54,0.26,0.5,0.57
linux-ntfs.csv,0.43,0.53,0.41,0.06,0.41,0.52,0.57,0.31,0.65,0.51,0.7
olap-navigator.csv,0.87,0.63,0.72,0.85,0.77,0.62,0.87,0.7,0.28,0.43,0.43
phonon-vlc-mplayer.csv,0.53,0.61,0.83,0.81,0.78,0.73,0.83,0.59,0.4,0.47,0.57
qgis.csv,0.43,0.64,0.76,0.0,0.24,0.44,0.64,0.66,0.23,0.71,0.57
qse.csv,0.44,0.48,0.61,0.18,0.78,0.72,0.75,0.62,0.33,0.41,0.1
rebecca-aiml.csv,0.27,0.4,0.42,0.34,0.64,0.29,0.87,0.04,0.84,0.47,0.53
roller.csv,0.64,0.56,0.17,0.0,0.42,0.71,0.82,0.0,0.0,0.56,0.0
xapian.csv,0.72,0.56,0.81,0.66,0.76,0.4,0.3,0.09,0.0,0.68,0.35
zoolib.csv,0.71,0.59,0.75,0.06,0.27,0.7,0.0,0.72,0.25,0.36,0.61
