,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.7,0.0,0.0,0.62,0.66,0.79,0.46,0.7,0.09,0.59
betoffice.csv,0.34,0.19,0.42,0.53,0.38,0.0,0.6,0.44,0.39,0.44
bnetd.csv,0.0,0.27,0.3,0.59,0.45,0.42,0.0,0.71,0.0,0.31
graphmak.csv,0.06,0.76,0.71,0.57,0.3,0.44,0.45,0.13,0.0,0.6
hazelcast.csv,0.64,0.49,0.59,0.58,0.61,0.96,0.53,0.56,0.62,0.72
megasquirtavr.csv,0.0,0.26,0.63,0.54,0.48,0.0,0.53,0.0,0.32,0.45
pdfedit.csv,0.59,0.46,0.62,0.76,0.47,0.32,0.26,0.66,0.56,0.46
stajistics.csv,0.63,0.6,0.0,0.53,0.41,0.78,0.37,0.48,0.78,0.72
twostep.csv,0.7,0.64,0.68,0.6,0.63,0.82,0.49,0.58,0.82,0.68
xharbour.csv,0.79,0.55,0.7,0.67,0.5,0.61,0.52,0.49,0.62,0.66
