,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.57,0.39,0.68,0.25,0.34,0.6,0.69,0.57,0.49,0.43,0.98,0.13,0.59,0.11,0.55,0.58,0.51
emeraldemu.csv,0.5,0.56,0.61,0.61,0.43,0.36,0.37,0.93,0.25,0.39,0.58,0.22,0.61,0.35,0.49,0.18,0.75
grafx2.csv,0.51,0.6,0.64,0.49,0.3,0.39,0.43,0.55,0.39,0.29,0.38,0.45,0.56,0.98,0.61,0.74,0.29
jahshakafx.csv,0.96,0.4,0.41,0.15,0.22,0.16,0.24,0.34,0.13,0.19,0.26,0.18,0.35,0.54,0.24,0.3,0.29
kindb.csv,0.77,0.76,0.69,0.77,0.4,0.51,0.66,0.67,0.58,0.55,0.69,0.74,0.67,0.72,0.7,1.0,0.86
maya-work-in-progress.csv,0.79,0.68,0.76,0.71,0.54,0.54,0.67,0.65,0.6,0.95,0.43,0.58,0.64,0.42,0.7,0.73,0.66
novembre.csv,0.63,0.57,0.59,0.43,0.24,0.17,0.94,0.46,0.15,0.11,0.35,0.13,0.38,0.09,0.35,0.07,0.77
ns-3.csv,0.64,0.6,0.64,0.56,0.39,0.99,0.67,0.59,0.42,0.5,0.51,0.62,0.65,0.41,0.59,0.45,0.48
nullc.csv,0.4,0.26,0.05,0.09,1.0,0.46,0.3,0.52,0.3,0.4,0.53,0.4,0.09,0.21,0.39,0.24,0.61
open-beos.csv,0.67,0.61,0.6,0.63,0.36,0.49,0.43,0.67,0.93,0.49,0.62,0.47,0.6,0.45,0.55,0.43,0.71
pixel-commandos.csv,0.02,0.02,0.0,0.1,0.1,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.05,0.0,1.0
planeshift.csv,0.79,0.71,0.64,0.74,0.46,0.6,0.56,0.74,0.66,0.66,0.47,0.62,0.99,0.63,0.66,0.73,0.53
plee-the-bear.csv,0.35,0.12,0.88,0.0,0.0,0.28,0.43,0.39,0.27,0.09,0.51,0.29,0.44,0.37,0.38,0.35,0.28
reaper-ecad.csv,0.25,0.13,0.25,0.97,0.17,0.25,0.09,0.25,0.01,0.35,0.39,0.09,0.24,0.0,0.29,0.04,0.0
sbml.csv,0.67,0.57,0.67,0.55,0.58,0.61,0.48,0.67,0.61,0.6,0.63,0.57,0.72,0.41,0.99,0.0,0.8
unimrcp.csv,0.58,0.51,0.67,0.33,0.42,0.2,0.52,0.45,0.31,0.23,0.35,0.97,0.28,0.27,0.33,0.34,0.29
unladen-swallow.csv,0.13,0.65,0.11,0.05,0.26,0.36,0.44,0.11,0.04,0.04,0.49,0.36,0.46,0.35,0.44,0.21,0.29
